RecordedDate,ResponseId,Clicks,IS,Charity,ISMC,IncImp,inc1,inc2,PMMC,pm1,pm2,CharityImp,CharityImp1,CharityImp2,CharityImp3,Focus_other,gender,age,duplicate
2021-04-14 14:01,R_3JfxXbOIegG25uK,587,-1,-1,2,7,7,7,7,7,7,6,6,6,6,4,-1,54,0
2021-04-14 14:01,R_2c2i8H448sEXprt,788,1,1,7,5,5,5,5.5,5,6,5,5,5,5,5,1,30,0
2021-04-14 14:01,R_2QAuSrPekXLAVLP,619,-1,-1,1,4,7,1,7,7,7,4,4,4,4,7,-1,40,0
2021-04-14 14:01,R_2DMsA8HYivg3qFz,482,-1,-1,1,1,1,1,1,1,1,2,2,2,2,1,1,34,0
2021-04-14 14:01,R_21zyM0fYPbZ736C,726,-1,1,3,7,7,7,7,7,7,7,7,7,7,7,-1,32,0
2021-04-14 14:01,R_1l0FRaMJLFiFhgn,602,1,-1,4,5.5,6,5,2.5,3,2,2,2,2,2,2,1,62,0
2021-04-14 14:01,R_2wtBkwGnJLPfBrX,782,-1,-1,4,7,7,7,7,7,7,2.67,2,2,4,7,-1,36,0
2021-04-14 14:01,R_1r7c7rkaJuAwPnd,940,-1,-1,6,7,7,7,7,7,7,4,4,4,4,6,1,35,0
2021-04-14 14:01,R_2Cge7CmPyBRBCy8,198,-1,1,4,3.5,3,4,4,4,4,7,7,7,7,3,1,40,0
2021-04-14 14:01,R_2xXLwpkqL4UMfHI,774,1,-1,1,6.5,6,7,7,7,7,5,5,5,5,7,1,55,0
2021-04-14 14:01,R_3NJaRpUMKDxhDXt,511,-1,-1,2,1,1,1,7,7,7,5.67,5,6,6,4,-1,56,0
2021-04-14 14:01,R_6fBZ1UghwW2k9Dr,0,-1,1,1,1,1,1,2.5,3,2,1.333333333,1,2,1,3,1,43,0
2021-04-14 14:01,R_10ZQ1CYIKxeXflC,0,1,1,4,4,4,4,1,1,1,2,2,2,2,1,1,27,0
2021-04-14 14:02,R_2tmR7aBWr9tsKAP,459,-1,1,1,1.5,2,1,7,7,7,7,7,7,7,1,-1,38,0
2021-04-14 14:02,R_A0tv9y5KlEquQI9,689,-1,-1,6,5,5,5,5.5,6,5,5.33,5,6,5,5,1,50,0
2021-04-14 14:02,R_vjeqrCWRj1x0X1n,577,1,-1,6,7,7,7,7,7,7,6,6,6,6,7,-1,33,0
2021-04-14 14:02,R_2Cmt6rG4cWF5uv9,220,-1,1,2,5,6,4,6.5,7,6,6.67,6,7,7,7,1,37,0
2021-04-14 14:02,R_3KV1lx8imBgEe7B,534,1,1,1,4,4,4,7,7,7,5,5,5,5,4,-1,54,0
