"","age","language","avgtemp","DEQ","ALEX1","ALEX2","ALEX3","ALEX4","ALEX5","ALEX6","ALEX7","ALEX8","ALEX9","ALEX10","ALEX11","ALEX12","ALEX13","ALEX14","ALEX15","ALEX16","ECR1","ECR2","ECR3","ECR4","ECR5","ECR6","ECR7","ECR8","ECR9","ECR10","ECR11","ECR12","ECR13","ECR14","ECR15","ECR16","ECR17","ECR18","ECR19","ECR20","ECR21","ECR22","ECR23","ECR24","ECR25","ECR26","ECR27","ECR28","ECR29","ECR30","ECR31","ECR32","ECR33","ECR34","ECR35","ECR36","HOME1","HOME2","HOME3","HOME4","HOME5","HOME6","HOME7","HOME8","HOME9","KAMF1","KAMF2","KAMF3","KAMF4","KAMF5","KAMF6","KAMF7","SNI1","SNI2","SNI3","SNI4","SNI5","SNI6","SNI7","SNI8","SNI9","SNI10","SNI11","SNI12","SNI13","SNI14","SNI15","SNI16","SNI17","SNI18","SNI19","SNI20","SNI21","SNI22","SNI23","SNI24","SNI25","SNI26","SNI27","SNI28","SNI29","SNI30","SNI31","SNI32","socialdiversity"
"835",1994,7,37.1,30.58009338,2,3,2,4,2,3,3,3,2,2,2,2,3,2,3,2,2,2,3,6,4,4,3,4,4,4,4,4,4,5,2,2,5,3,5,3,4,3,5,3,3,3,2,4,3,4,2,3,2,3,3,4,4,4,4,3,5,5,5,4,3,4,4,4,2,2,2,3,2,1,0,2,2,5,0,8,8,6,6,1,1,2,8,3,1,8,1,2,1,1,"  ʷ Ļ ѧԺѧ    ","     Ļ  뾫   о Э  ",NA,NA,NA,3,3,NA,NA,NA,8
"836",1994,7,37.1,30.58009338,2,2,3,2,2,4,2,2,2,2,3,2,2,2,2,1,4,4,3,3,4,2,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,5,3,3,3,4,3,4,4,4,4,5,4,5,4,4,5,4,4,7,5,6,2,2,2,1,0,4,4,5,0,6,4,6,4,1,1,2,6,1,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"837",1994,7,37.1,30.66670227,2,2,2,2,4,3,3,2,4,2,4,4,4,4,4,2,6,3,5,6,6,6,5,5,3,2,4,5,5,6,5,6,3,2,2,3,2,5,2,4,4,5,2,2,4,3,2,5,2,2,4,3,4,5,3,4,4,5,5,5,5,3,3,7,2,3,1,1,4,1,0,4,2,5,0,4,3,5,4,1,1,1,2,1,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"838",1994,1,37.135,47.42359924,1,2,4,3,2,4,2,4,2,2,4,2,2,1,3,1,6,7,7,5,7,7,5,6,6,7,2,7,3,6,5,7,5,7,5,2,5,2,5,3,4,4,4,1,3,3,5,3,6,5,3,6,4,4,4,4,4,5,5,4,4,5,8,6,6,6,5,4,2,1,NA,2,2,4,4,4,1,5,5,2,1,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"839",1994,5,37.15,1.293106079,2,2,1,4,2,3,4,2,2,2,2,2,2,2,2,2,5,2,3,5,4,5,5,3,5,2,5,2,3,3,5,5,5,3,3,2,4,3,2,2,2,2,2,2,2,2,2,3,4,2,2,2,4,4,4,2,2,3,3,3,3,4,4,6,4,4,4,4,2,1,NA,4,4,5,NA,3,2,6,6,2,2,2,8,1,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"840",1994,6,37.2,44.81860352,4,5,5,5,4,4,5,5,4,5,4,2,2,2,2,1,1,1,3,1,1,2,3,1,7,5,1,2,1,1,3,8,1,1,4,6,7,5,5,3,2,7,5,5,5,7,7,2,7,7,3,4,4,4,4,4,4,4,2,2,2,2,7,5,7,6,6,4,2,1,NA,4,4,5,NA,3,1,5,5,1,NA,2,8,1,NA,NA,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"841",1994,5,37.22222222,37.55380249,4,4,1,4,3,4,2,4,4,1,2,3,2,2,2,2,4,4,3,3,3,6,4,5,4,2,3,3,6,5,3,2,6,2,2,2,3,2,2,3,2,2,3,3,3,1,2,5,5,2,1,2,5,4,4,5,5,3,3,4,3,4,3,4,3,3,3,3,2,1,NA,4,4,5,NA,3,2,3,3,2,1,2,3,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"842",1994,5,37.35,1.293106079,3,2,2,2,3,2,3,2,2,2,2,3,3,2,3,3,4,3,4,5,6,6,4,5,3,5,3,3,3,3,6,4,4,5,5,4,5,4,3,5,4,4,4,5,5,5,4,4,5,5,3,5,4,4,4,4,4,5,4,4,4,3,3,5,2,3,2,2,2,1,NA,4,2,5,NA,4,3,4,3,2,1,2,6,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"843",1994,5,39.3,1.293106079,5,5,4,3,4,4,5,5,5,3,3,2,4,2,3,1,4,4,3,3,3,3,2,3,3,3,6,3,4,3,3,3,2,3,7,5,7,5,3,4,4,2,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,1,2,1,2,2,2,2,2,1,NA,4,3,5,NA,4,3,6,3,1,NA,2,4,1,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"844",1995,3,35.05,39.91169739,2,4,2,4,1,3,4,4,2,4,2,2,3,4,4,2,4,4,3,4,5,4,3,5,2,3,7,4,3,5,3,6,4,3,3,3,3,3,2,2,4,3,3,2,2,4,3,3,2,2,2,3,5,4,4,4,4,4,4,3,3,5,4,2,2,3,3,3,2,1,NA,4,4,5,NA,8,3,8,8,1,NA,2,4,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"845",1995,5,35.1,51.75,4,1,1,2,4,1,4,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,3,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,2,3,1,1,2,1,1,4,1,1,1,1,1,1,5,6,5,4,3,1,1,1,1,NA,4,4,4,4,2,2,5,5,1,NA,2,8,2,1,6,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"846",1995,5,35.1,51.75,4,2,2,2,4,2,4,4,2,3,2,3,3,2,2,2,5,5,5,4,2,5,5,2,4,2,4,2,5,3,3,2,6,2,2,2,3,3,2,2,2,2,1,3,2,3,2,2,3,3,2,3,4,4,4,4,4,4,2,4,3,5,7,6,6,4,7,6,2,1,NA,4,4,5,NA,2,1,8,6,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"847",1995,3,35.2,39.91169739,1,2,1,2,1,1,3,1,3,1,2,2,1,3,2,2,6,2,2,1,6,4,2,2,2,1,2,2,2,1,2,6,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,5,4,5,5,5,5,5,5,5,5,8,6,6,6,6,7,2,1,NA,4,4,4,1,8,6,6,6,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"848",1995,3,35.2,39.91169739,2,4,1,3,3,2,3,4,4,2,2,2,2,3,2,2,5,2,2,4,3,4,4,6,4,5,4,2,4,3,5,5,2,2,6,6,4,6,5,5,6,4,4,3,2,7,2,5,3,2,2,3,4,4,4,4,4,5,5,4,4,2,3,4,1,2,3,2,2,1,NA,4,4,4,4,3,2,4,3,1,NA,2,6,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"849",1995,5,35.2,51.75,2,2,2,1,1,2,2,1,3,2,1,1,1,1,2,2,2,4,3,4,4,5,4,4,4,4,3,2,4,3,5,2,6,1,5,2,4,3,2,3,3,2,3,2,3,3,2,2,4,4,3,3,5,4,4,5,5,4,4,5,3,3,2,2,1,1,4,1,2,1,NA,4,4,5,NA,3,1,7,7,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"850",1995,5,35.22222222,37.55380249,4,5,5,4,4,4,4,5,2,5,4,3,4,3,2,3,2,1,1,1,1,2,1,1,6,2,7,1,1,1,1,2,4,1,4,4,3,3,2,2,1,2,4,5,4,4,3,2,2,4,2,4,4,5,5,5,5,5,3,5,5,4,4,6,2,4,4,4,2,1,NA,4,2,5,NA,1,NA,2,2,2,3,2,1,3,1,4,1,2,5,2,"MSA","U2H",NA,NA,NA,3,4,NA,NA,NA,7
"851",1995,4,35.25,59.91670227,2,4,1,3,1,2,2,2,4,2,1,4,2,2,3,2,4,4,4,6,4,4,4,5,4,4,5,4,2,1,2,4,2,4,4,4,5,2,3,5,3,4,4,4,4,4,4,2,4,4,4,4,5,5,4,5,4,2,2,4,4,3,2,1,1,1,2,1,2,1,NA,4,2,5,NA,4,2,8,8,2,8,2,6,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"852",1995,5,35.4,1.293106079,4,3,2,2,4,4,4,4,3,4,4,2,2,2,4,3,5,5,5,5,6,5,4,5,5,6,6,6,3,3,5,6,4,3,4,3,5,2,4,6,4,2,2,2,2,2,3,4,2,2,4,3,4,4,4,4,4,4,4,4,4,1,6,5,4,2,2,3,2,1,NA,4,4,5,NA,8,4,8,8,2,4,2,8,1,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"853",1995,6,35.5,44,4,4,1,4,2,3,4,4,1,3,2,2,2,2,2,2,2,1,2,4,4,4,2,5,6,3,NA,2,2,1,3,1,3,1,3,4,5,4,3,2,3,5,5,3,4,5,4,4,5,6,3,4,4,4,4,5,5,3,3,3,3,3,4,5,1,4,4,4,2,1,NA,4,4,5,NA,3,1,3,3,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"854",1995,5,35.52777778,37.55220032,4,3,2,2,4,2,4,2,2,4,2,3,2,3,4,4,5,5,5,4,4,5,6,6,3,6,2,5,5,5,5,4,4,5,5,3,5,2,4,3,5,4,3,3,5,2,3,5,2,4,3,2,4,4,4,4,4,4,4,4,4,3,2,4,3,2,2,2,2,1,NA,4,4,5,NA,2,2,5,5,2,1,2,8,1,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"855",1995,5,35.55,51.75,2,3,1,3,2,1,1,2,1,2,1,2,3,4,5,4,1,1,1,2,2,1,1,2,6,2,2,2,4,1,2,1,3,2,5,5,4,4,3,4,3,3,1,3,6,5,4,3,4,5,3,3,4,4,4,4,4,2,2,3,3,3,3,3,2,2,4,4,2,1,NA,4,4,5,NA,2,1,5,5,1,NA,2,8,1,NA,NA,8,1,NA,2,"Rowing Club","Rugby Club",NA,NA,NA,7,7,NA,NA,NA,5
"856",1995,5,35.55,51.75,2,4,2,2,4,4,4,2,2,4,3,2,2,1,4,2,2,2,4,3,3,6,2,6,2,3,3,2,6,2,6,2,6,1,3,3,5,5,5,7,6,2,3,5,2,6,2,5,3,3,2,2,4,4,4,4,5,4,3,4,5,3,4,4,6,2,5,5,2,1,NA,4,4,5,NA,3,1,7,6,2,2,2,7,3,1,4,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"857",1995,5,35.55,51.75,4,2,1,3,4,2,4,3,2,2,2,2,2,2,4,2,3,5,2,5,6,5,2,6,5,3,5,3,2,5,3,5,7,5,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,3,5,4,4,5,4,2,2,3,4,5,7,6,7,6,4,6,2,1,NA,4,4,5,NA,7,2,5,5,1,NA,2,7,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"858",1995,1,35.6,51.31669617,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,2,2,4,3,5,6,5,4,3,2,4,2,1,NA,4,4,4,4,7,5,7,7,2,1,2,8,1,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"859",1995,5,35.6,51.75,2,2,2,3,2,2,3,3,2,3,2,2,1,3,4,3,3,2,2,2,2,5,2,5,3,2,6,4,3,3,4,4,5,2,5,2,3,2,3,4,3,3,2,2,1,2,1,4,3,2,3,2,5,4,4,4,4,4,2,4,3,3,4,3,2,3,5,3,2,1,NA,4,3,5,NA,8,1,4,4,1,NA,2,8,1,NA,NA,1,1,NA,2,"AIESEC","Other university societies",NA,NA,NA,6,4,NA,NA,NA,5
"860",1995,5,35.6,51.75,2,3,1,4,2,1,2,3,4,2,2,2,1,3,3,3,5,3,4,3,3,5,2,5,1,3,2,4,4,1,6,1,5,1,4,4,3,6,6,6,6,6,7,2,3,4,2,5,4,4,5,4,4,4,3,4,5,4,2,3,2,3,4,4,3,2,3,2,2,1,NA,4,1,5,NA,5,1,4,3,1,NA,2,5,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"861",1995,4,35.65,59.91670227,1,2,4,2,1,1,1,1,1,1,1,2,3,1,2,3,4,4,4,5,4,4,4,3,4,4,5,4,4,2,4,4,2,4,4,4,6,2,2,1,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,4,3,4,5,3,4,1,1,1,2,2,2,1,NA,4,4,5,NA,8,2,8,6,2,2,2,8,3,1,1,1,1,NA,2,"Fotballag","Studentfotball",NA,NA,NA,7,7,0,0,0,8
"862",1995,5,35.65,51.75,2,4,1,2,2,2,4,5,1,2,1,1,3,2,4,1,4,4,4,4,4,6,4,6,4,4,6,4,4,2,5,4,5,4,4,4,4,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,5,5,5,5,3,4,4,3,2,2,4,2,1,NA,4,4,5,NA,3,2,8,6,1,NA,2,8,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"863",1995,1,35.65,50.93330383,3,4,2,3,2,3,3,4,4,3,3,2,4,2,4,3,5,3,4,5,4,4,5,5,3,2,2,5,4,4,5,2,5,2,5,4,5,2,2,4,3,2,2,2,2,2,2,2,7,7,2,2,4,4,3,4,2,3,3,3,3,5,5,3,4,3,6,6,1,1,NA,4,4,2,2,6,3,6,6,1,NA,2,6,3,2,8,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"864",1995,5,35.66666667,37.55220032,1,2,1,2,2,4,2,2,3,1,3,2,1,2,4,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,6,3,5,3,5,3,3,3,2,3,3,3,3,3,3,2,3,6,3,3,5,5,5,5,5,3,3,3,3,4,5,3,4,4,4,4,2,1,NA,4,4,5,NA,4,4,8,8,2,8,2,8,1,NA,NA,4,1,NA,2,"Raas Team (Dance)","Swadhyay","Math Major Group",NA,NA,16,5,2,NA,NA,6
"865",1995,5,35.66666667,38.85569763,3,3,2,2,3,2,3,3,3,2,1,3,5,1,2,2,3,3,1,4,4,2,2,4,4,2,3,4,2,4,2,1,4,2,1,1,4,2,1,2,1,2,2,2,2,1,2,1,4,4,2,3,4,4,4,4,5,4,4,4,4,5,7,5,3,3,3,3,2,1,NA,4,4,5,NA,8,5,5,5,1,NA,2,3,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"866",1995,5,35.7,51.75,2,4,1,2,2,1,3,2,1,1,1,2,1,1,1,1,3,3,4,4,2,4,1,1,2,2,2,2,2,1,2,1,5,4,2,1,2,2,1,3,2,1,1,1,1,2,1,1,2,2,1,3,5,5,5,5,5,4,4,5,4,5,8,6,3,4,3,5,2,1,NA,4,1,5,NA,4,1,8,8,1,NA,2,8,1,NA,NA,1,1,NA,2,"Choir","Rowing","The JCR",NA,NA,7,7,7,NA,NA,5
"867",1995,7,35.7,30.66670227,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,5,5,1,4,7,5,6,7,2,5,1,4,3,2,6,1,7,1,2,4,4,3,2,2,5,4,5,4,5,4,2,5,3,1,1,4,4,4,4,4,4,4,4,4,4,5,6,7,1,5,1,6,2,1,0,4,2,5,0,8,2,5,3,1,1,2,8,1,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"868",1995,4,35.7,59.91270447,1,4,1,3,1,1,3,4,3,1,1,2,4,3,4,3,2,5,2,2,7,2,2,2,2,2,2,3,5,3,4,2,5,2,6,1,1,2,2,2,2,2,6,2,4,2,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1,2,1,1,1,3,1,2,1,NA,4,4,5,NA,2,2,8,5,1,NA,2,3,3,1,4,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"869",1995,5,35.75,34.41940308,2,2,2,4,2,2,2,2,2,2,2,4,2,4,4,2,5,5,5,7,5,5,7,5,5,6,1,7,6,5,5,7,6,4,5,1,6,2,5,3,3,3,3,2,1,3,3,3,2,2,3,3,4,4,4,4,4,4,4,4,4,5,6,7,5,5,5,5,2,1,NA,4,4,5,NA,2,1,5,5,2,1,2,3,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"870",1995,7,35.75,39.92889404,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3,5,5,4,5,4,4,3,3,5,3,5,2,6,2,2,3,5,3,3,4,3,3,3,3,3,5,3,5,3,5,3,4,4,4,3,4,4,4,3,4,4,5,8,6,2,2,5,3,2,1,0,4,4,5,0,3,2,4,4,2,4,2,4,1,1,1,1,1,8,2,"־Ը    ","Ժ  ί",NA,NA,NA,9,5,NA,NA,NA,8
"871",1995,3,35.8,39.91169739,2,1,1,2,1,2,3,2,1,3,2,2,1,1,2,4,6,5,4,5,4,4,2,4,3,4,3,1,2,5,1,6,1,2,2,1,2,1,1,1,1,1,1,1,4,1,1,1,2,1,1,4,5,5,5,5,5,5,4,3,4,5,6,6,5,6,4,2,2,1,NA,4,4,4,1,8,4,8,8,1,NA,2,8,3,1,3,1,2,8,2,"AGT","ODT? K?PR?",NA,NA,NA,7,6,NA,NA,NA,8
"872",1995,4,35.85,59.91270447,2,4,2,4,2,1,3,3,4,3,1,2,4,2,4,3,5,4,1,2,2,1,5,3,2,5,2,1,1,4,1,4,2,2,6,3,4,3,4,1,5,2,1,2,3,3,1,5,2,2,3,1,4,3,4,4,3,3,3,4,4,5,6,4,1,2,6,4,1,1,NA,4,4,4,2,6,3,5,3,1,NA,2,3,3,1,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"873",1995,1,35.85,51.31669617,2,3,1,3,2,2,2,2,3,3,2,2,2,2,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,4,1,1,4,5,4,5,5,4,2,4,4,4,4,4,2,2,3,4,2,1,NA,4,4,4,4,4,4,4,4,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"874",1995,4,35.85,59.91670227,2,2,1,2,2,2,2,2,1,3,1,2,1,2,3,2,6,1,1,2,7,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,4,4,1,1,5,5,5,5,5,3,1,5,4,4,5,7,2,4,2,3,2,1,NA,4,4,4,1,8,5,8,8,1,NA,2,6,3,1,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"875",1995,3,35.85,39.91169739,2,2,4,3,3,4,2,2,1,3,3,2,1,1,2,2,7,6,2,5,7,6,2,5,6,1,7,2,2,2,4,7,3,2,1,1,6,2,1,1,2,2,2,1,1,2,1,2,2,2,1,3,4,4,4,4,4,4,5,4,3,4,6,6,1,4,2,2,1,1,NA,4,2,4,1,4,3,4,3,1,NA,2,8,1,NA,NA,1,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"876",1995,3,35.85,39.91169739,1,2,1,2,1,2,2,1,1,2,3,2,1,3,3,4,1,1,2,5,6,7,6,2,1,1,1,1,2,2,1,6,2,2,2,1,6,1,1,1,2,2,1,1,2,2,1,2,6,6,5,2,5,5,5,5,5,2,2,5,2,3,4,6,4,4,4,4,1,1,NA,4,4,4,4,5,3,7,7,2,3,2,8,1,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"877",1995,5,35.85,1.293106079,2,2,2,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,4,5,4,3,3,4,3,2,1,NA,4,4,5,NA,2,2,5,4,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"878",1995,5,35.9,51.75,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,2,6,4,2,5,5,2,3,5,2,3,7,4,3,3,4,5,5,5,3,4,3,2,2,3,3,4,5,3,2,2,4,2,3,3,3,3,5,5,5,5,5,4,5,5,5,1,2,6,2,3,2,2,1,1,NA,4,4,1,NA,8,6,4,1,1,NA,2,8,3,8,5,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"879",1995,3,35.9,39.91169739,2,2,5,3,2,2,4,2,3,2,2,2,2,3,3,3,2,2,1,1,6,7,1,2,3,5,3,1,5,3,2,6,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,1,2,5,5,4,4,5,5,3,4,2,4,6,6,1,3,7,4,2,1,NA,4,4,5,NA,8,5,8,6,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"880",1995,7,35.9,39.92889404,2,3,3,2,2,4,4,2,4,2,3,2,4,2,2,2,6,3,4,5,6,5,5,4,4,2,5,2,2,4,4,5,6,2,2,2,6,2,5,2,3,2,3,2,2,6,3,2,2,6,3,3,4,4,4,4,4,4,4,2,3,4,5,5,2,4,3,5,2,1,0,4,4,5,0,4,1,6,3,1,1,2,5,1,1,3,1,2,1,1,"ѧ     ֯","־Ը   ֯","   Ż",NA," Σ ",3,2,1,NA,NA,8
"881",1995,5,35.9,51.75,2,4,3,4,3,2,4,3,3,2,2,2,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,2,4,3,4,2,1,NA,4,4,5,NA,4,3,4,3,1,NA,2,5,1,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"882",1995,3,35.9,39.91169739,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,6,3,2,5,6,6,5,2,3,2,7,2,2,1,1,6,3,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,5,5,5,5,5,4,3,4,4,5,6,6,2,4,3,3,1,1,NA,4,4,4,1,6,3,6,5,1,NA,2,8,1,NA,NA,1,2,8,2,"Ankara G?n  ll   Tak?m?","K?pr  ",NA,NA,NA,10,6,NA,NA,NA,8
"883",1995,5,35.9,1.293106079,2,3,3,4,2,4,2,3,3,2,2,1,1,2,3,3,5,5,5,5,4,5,2,5,5,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4,5,4,4,4,4,5,4,5,4,5,3,4,5,4,5,5,4,5,5,5,5,4,6,4,5,4,6,6,2,1,NA,4,4,5,NA,1,NA,6,5,1,NA,2,8,1,NA,NA,1,2,3,2,"Scholarship programme","School club","LGBT support group",NA,NA,4,1,6,NA,NA,5
"884",1995,5,35.91666667,37.55220032,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,4,4,4,6,7,4,4,5,4,2,4,4,5,5,5,4,5,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,1,3,5,3,4,4,4,5,5,4,4,5,8,7,6,6,4,5,2,1,NA,4,4,4,3,2,2,8,8,1,NA,2,8,3,1,5,1,1,NA,2,"Delta Epsilon Mu","Alpha Gamma Delta",NA,NA,NA,15,3,NA,NA,NA,7
"885",1995,5,35.94444444,NA,2,2,4,3,2,4,2,3,4,2,2,2,3,2,3,2,2,3,3,3,4,2,1,5,2,3,2,3,2,2,5,2,6,1,3,2,3,3,2,4,5,3,2,2,2,2,2,5,3,3,3,3,4,4,3,4,4,3,3,4,3,3,3,3,2,2,3,4,2,1,NA,4,2,5,NA,3,3,3,3,1,NA,2,6,3,1,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"886",1995,5,35.94444444,NA,2,4,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,4,2,3,4,5,6,5,2,3,3,1,2,1,NA,4,4,5,NA,8,1,5,1,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"887",1995,9,35.95,54.3500061,2,2,2,2,2,3,4,2,2,3,4,3,2,2,2,2,1,1,1,1,1,5,1,1,1,1,7,1,1,1,1,4,2,2,1,1,4,1,1,1,1,2,1,1,1,2,1,1,4,4,2,2,5,5,5,5,5,4,4,5,5,4,4,6,3,4,4,2,1,1,NA,4,2,3,1,6,4,2,2,2,1,2,6,2,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"888",1995,5,35.95,1.293106079,2,2,2,2,3,4,2,2,3,1,2,4,2,2,2,2,1,2,2,4,5,3,2,5,1,2,2,1,3,2,3,2,2,2,2,3,5,3,2,2,2,2,3,1,3,3,3,2,3,3,1,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,5,4,2,1,NA,4,4,5,NA,3,2,8,6,2,2,2,8,1,NA,NA,1,1,NA,2,"Overseas Community Service Group","School projects",NA,NA,NA,15,5,NA,NA,NA,6
"889",1995,3,35.95,39.91169739,2,2,2,2,2,3,2,2,3,2,2,2,2,4,2,1,5,2,2,5,7,6,5,5,2,1,2,2,2,2,2,5,4,2,1,1,3,1,2,2,2,1,1,1,1,1,1,2,1,1,1,3,5,2,5,4,3,5,5,5,5,4,8,7,6,6,6,6,2,1,NA,4,4,5,NA,8,4,4,3,1,NA,2,8,1,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"890",1995,9,35.95,52.25,5,4,1,4,2,4,5,3,3,3,3,1,5,2,2,2,6,5,2,2,4,2,2,1,2,1,6,2,2,1,2,4,2,1,2,3,5,1,4,3,3,6,2,2,2,6,4,3,6,6,1,1,5,5,3,5,5,5,5,5,5,5,5,4,3,2,5,6,2,1,NA,4,4,4,4,5,3,5,3,2,1,2,8,2,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
