Y1,Y2,Y
0.295778629,0.280258888,0.270976687
0.575705528,0.635390831,0.849242195
0.511599209,0.308564861,0.232425653
-0.337397877,-0.321166044,-0.401914087
-0.597545095,-0.597913701,-0.940337379
-0.486869181,-0.453699694,-0.577146059
-0.436065922,-0.449034411,-0.475511515
-0.276656163,-0.343836354,-0.345839856
-0.504239932,-0.503091855,-0.692799161
0.086029238,0.080658246,0.345994915
-0.251800044,-0.317874313,-0.271703252
-0.167567741,-0.098345367,0.001119449
-0.474643184,-0.466070808,-0.538595025
-0.455867327,-0.456662938,-0.422941924
-0.213391826,-0.19052523,-0.122243859
-0.303945966,-0.347782428,-0.307288822
-0.438228368,-0.396034634,-0.500043991
-0.319260275,-0.360443494,-0.567508301
-0.204369926,-0.243934643,-0.446072544
-0.123934124,-0.103650355,-0.114533652
-0.220759654,-0.212593137,-0.114533652
-0.447385253,-0.405794081,-0.769901229
-0.351661326,-0.393247068,-0.461492958
-0.259466112,-0.151660457,-0.446072544
-0.233180927,-0.214036911,-0.209428505
-0.095740023,-0.045111922,-0.047850783
-0.312819269,-0.361884948,-0.405593958
0.005083301,0.094643508,0.348078754
-0.484045189,-0.428214074,-0.897728341
-0.343210745,-0.407302039,-0.728384731
-0.386944276,-0.429446469,-0.648465472
-0.179898384,-0.287442015,-0.181121802
-0.237545188,-0.238406212,-0.153084686
-0.386712222,-0.331894436,-0.422941924
-0.220475319,-0.173426295,-0.268737788
-0.403688703,-0.399068037,-0.527029715
-0.07420503,-0.162731024,-0.201012999
-0.397569567,-0.3794588,-0.475511515
-0.433166362,-0.452203315,-0.51231023
-0.255420273,-0.313746532,-0.268737788
-0.46966838,-0.323428587,-0.437769244
-0.236934635,-0.542882732,-0.162722445
-0.607862046,-0.459424464,-0.8508584
-0.372571758,-0.410666853,-0.514247004
-0.324010033,-0.18026135,-0.500043991
-0.350754985,-0.262615033,-0.365115373
-0.199119101,-0.308838298,-0.147153758
-0.416297191,-0.347628889,-0.425833251
-0.353796545,0.002292194,-0.461492958
-0.126535351,-0.160636573,0.247252973
-0.22491597,-0.471799188,-0.043362513
-0.401267802,-0.354202391,-0.585907658
-0.336261844,-0.438206985,-0.461492958
-0.244497819,-0.210076588,-0.538595025
-0.302182005,-0.32939926,-0.301201817
-0.363619758,-0.326741177,-0.333977999
-0.332516788,-0.428050019,-0.405593958
-0.488647887,-0.445215539,-0.622706372
-0.454138536,-0.483582398,-0.567508301
-0.447685423,-0.474151467,-0.686868233
-0.453169634,-0.467214857,-0.707626482
-0.47028634,-0.558395291,-0.648465472
-0.434426847,-0.364996706,-0.769901229
-0.343630518,-0.555142761,-0.396252746
-0.580419493,-0.536749526,-0.832175976
-0.356407825,-0.328967164,-0.648465472
-0.359084623,-0.496529426,-0.345839856
-0.235527573,-0.262722077,-0.549108944
-0.534597834,-0.441351949,-0.688944058
-0.411068817,-0.018932374,-0.514247004
-0.083249078,-0.26239508,0.18686534
-0.153796401,-0.151629117,-0.114533652
-0.204078569,-0.445426759,-0.181121802
-0.450077755,-0.294098925,-0.666109984
-0.103906098,-0.275763196,-0.500043991
-0.533814117,-0.295480386,-0.622706372
-0.304479742,-0.285802067,-0.20320103
-0.341663041,-0.289851821,-0.291517944
0.023192237,-0.067829324,-0.109461148
-0.087443351,0.050380641,-0.075982619
0.015747474,-0.304644611,0.120627654
-0.414351824,-0.575704673,-0.583076988
