Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
16-May-2018_14:12:35 7314 19 female R 2 1 22 moral immoralOther U u 1 0.6424 
16-May-2018_14:12:38 7314 19 female R 2 1 23 moral moralOther Y NA -1 1.0850 
16-May-2018_14:12:40 7314 19 female R 2 1 24 moral immoralOther U u 1 1.0627 
16-May-2018_14:12:42 7314 19 female R 2 2 1 moral moralOther Y y 1 1.0507 
16-May-2018_14:12:44 7314 19 female R 2 2 2 moral moralOther Y y 1 0.7889 
16-May-2018_14:12:46 7314 19 female R 2 2 3 moral moralSelf Y y 1 0.9210 
16-May-2018_14:12:48 7314 19 female R 2 2 4 moral moralSelf Y y 1 0.5611 
16-May-2018_14:12:50 7314 19 female R 2 2 5 moral immoralSelf U u 1 0.4872 
16-May-2018_14:12:51 7314 19 female R 2 2 6 moral immoralSelf U u 1 0.4754 
16-May-2018_14:12:53 7314 19 female R 2 2 7 moral immoralSelf U u 1 0.4074 
16-May-2018_14:12:55 7314 19 female R 2 2 8 moral moralSelf Y y 1 0.5515 
16-May-2018_14:12:57 7314 19 female R 2 2 9 moral immoralSelf U u 1 0.6756 
16-May-2018_14:12:59 7314 19 female R 2 2 10 moral moralOther Y y 1 0.7297 
16-May-2018_14:13:01 7314 19 female R 2 2 11 moral immoralOther U u 1 0.5959 
16-May-2018_14:13:03 7314 19 female R 2 2 12 moral moralOther Y y 1 0.7700 
16-May-2018_14:13:05 7314 19 female R 2 2 13 moral immoralOther U u 1 0.9640 
16-May-2018_14:13:07 7314 19 female R 2 2 14 moral immoralOther U u 1 0.5762 
16-May-2018_14:13:09 7314 19 female R 2 2 15 moral moralSelf Y y 1 0.5384 
16-May-2018_14:13:11 7314 19 female R 2 2 16 moral moralSelf Y y 1 0.7924 
16-May-2018_14:13:13 7314 19 female R 2 2 17 moral immoralSelf U u 1 0.5525 
16-May-2018_14:13:15 7314 19 female R 2 2 18 moral immoralOther U u 1 0.8546 
