"SubjectID","Age","Gender","Handness","moralSelfShape","immoralSelfShape","moralOtherShape","immoralOtherShape","matchKey","mismatchKey","Block","Bin","Trial","Identity","Morality","Match","RT","ResponseKey","Accuracy"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","17","other","moral","nonmatch","0.8619","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","18","self","moral","match","0.7162","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","19","other","moral","nonmatch","0.7144","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","20","self","moral","nonmatch","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","21","self","moral","nonmatch","0.8227","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","22","other","immoral","nonmatch","0.7169","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","23","self","immoral","match","0.6591","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","24","self","immoral","match","0.6093","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","1","other","moral","nonmatch","0.6714","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","2","other","immoral","match","0.7576","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","3","self","immoral","match","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","4","other","immoral","match","0.7140","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","5","self","moral","nonmatch","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","6","self","moral","match","0.6543","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","7","self","moral","match","0.5565","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","8","other","immoral","nonmatch","0.7147","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","9","other","immoral","match","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","10","other","moral","match","0.6951","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","11","self","moral","nonmatch","0.4932","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","12","self","moral","nonmatch","0.8274","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","13","other","moral","nonmatch","0.8737","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","14","self","moral","match","0.6638","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","15","other","moral","match","0.7099","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","16","other","moral","match","0.7642","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","17","self","immoral","match","0.6504","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","18","self","immoral","match","0.6086","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","19","self","immoral","nonmatch","0.4148","N","0"
