id,GENDER,SE_perf,SE_soc,SE_phys,SSES,personality,BFI10_1PP,BFI10_3PP_sp,BFI10_3PP_real
22,2,3.285714286,3.142857143,2.833333333,9.26,4,3.5,3.019231,3.480769
22,2,3.285714286,3.142857143,2.833333333,9.26,5,3,2.923077,2.269231
23,1,3.857142857,2.857142857,3.5,10.21,1,3.5,2.980769,2.673077
23,1,3.857142857,2.857142857,3.5,10.21,2,3.5,3.365385,3.307692
23,1,3.857142857,2.857142857,3.5,10.21,3,3,3.461538,3.288462
23,1,3.857142857,2.857142857,3.5,10.21,4,4,2.884615,3.576923
23,1,3.857142857,2.857142857,3.5,10.21,5,4.5,3.365385,3.307692
24,1,4.142857143,4,3.666666667,11.81,1,4,3.173077,3.269231
24,1,4.142857143,4,3.666666667,11.81,2,3.5,3.692308,3.538462
24,1,4.142857143,4,3.666666667,11.81,3,4.5,3.653846,3.711538
24,1,4.142857143,4,3.666666667,11.81,4,3,2.423077,2.615385
24,1,4.142857143,4,3.666666667,11.81,5,3,3.5,3.557692
25,1,4.571428571,4.428571429,4.333333333,13.33,1,5,3.326923,2.923077
25,1,4.571428571,4.428571429,4.333333333,13.33,2,5,3.538462,3.461538
25,1,4.571428571,4.428571429,4.333333333,13.33,3,5,3.634615,3.653846
25,1,4.571428571,4.428571429,4.333333333,13.33,4,3,2.865385,3.134615
25,1,4.571428571,4.428571429,4.333333333,13.33,5,3,3.538462,3.480769
26,1,4.285714286,4.428571429,4.166666667,12.88,1,2.5,2.865385,3.057692
26,1,4.285714286,4.428571429,4.166666667,12.88,2,2.5,2.769231,3.75
26,1,4.285714286,4.428571429,4.166666667,12.88,3,3.5,3.173077,3.961538
26,1,4.285714286,4.428571429,4.166666667,12.88,4,3.5,3.057692,2.826923
26,1,4.285714286,4.428571429,4.166666667,12.88,5,4.5,3.269231,3.365385
27,1,3.285714286,1.714285714,3,8,1,1.5,3.5,3.480769
27,1,3.285714286,1.714285714,3,8,2,2,3.5,2.807692
27,1,3.285714286,1.714285714,3,8,3,2,3.538462,3.307692
27,1,3.285714286,1.714285714,3,8,4,3.5,2.711538,2.807692
27,1,3.285714286,1.714285714,3,8,5,4.5,3.326923,3.134615
28,1,3.714285714,3.857142857,4,11.57,1,4,3.153846,3.230769
28,1,3.714285714,3.857142857,4,11.57,2,1.5,3.692308,3.288462
28,1,3.714285714,3.857142857,4,11.57,3,3,3.75,3.288462
28,1,3.714285714,3.857142857,4,11.57,4,3,2.596154,2.961538
28,1,3.714285714,3.857142857,4,11.57,5,4,3.557692,3.25
29,2,3.857142857,4.285714286,4.166666667,12.31,1,4.5,3.615385,3.442308
29,2,3.857142857,4.285714286,4.166666667,12.31,2,4,3.384615,2.807692
29,2,3.857142857,4.285714286,4.166666667,12.31,3,3,3.365385,3.384615
29,2,3.857142857,4.285714286,4.166666667,12.31,4,3,2.346154,2.673077
29,2,3.857142857,4.285714286,4.166666667,12.31,5,3.5,3.326923,3.192308
30,2,3.142857143,2.571428571,1.5,7.21,1,3,3.173077,3.538462
30,2,3.142857143,2.571428571,1.5,7.21,2,3,3.519231,2.788462
30,2,3.142857143,2.571428571,1.5,7.21,3,3,3.576923,2.923077
30,2,3.142857143,2.571428571,1.5,7.21,4,3.5,2.711538,2.884615
30,2,3.142857143,2.571428571,1.5,7.21,5,4,3.288462,3
31,2,4.142857143,3,3.333333333,10.48,1,2.5,3.846154,3.307692
31,2,4.142857143,3,3.333333333,10.48,2,4.5,4.076923,3
31,2,4.142857143,3,3.333333333,10.48,3,4.5,3.807692,3.230769
31,2,4.142857143,3,3.333333333,10.48,4,3,2.153846,3.019231
31,2,4.142857143,3,3.333333333,10.48,5,5,3.865385,3.192308
32,2,4,2.142857143,2.166666667,8.31,1,3.5,3.365385,2.653846
32,2,4,2.142857143,2.166666667,8.31,2,3.5,3.326923,2.538462
32,2,4,2.142857143,2.166666667,8.31,3,4.5,3.461538,2.461538
32,2,4,2.142857143,2.166666667,8.31,4,4.5,2.346154,3.307692
32,2,4,2.142857143,2.166666667,8.31,5,4.5,3.269231,2.711538
33,1,4.142857143,4.428571429,3.833333333,12.4,1,2.5,2.961538,3.538462
33,1,4.142857143,4.428571429,3.833333333,12.4,2,3,2.942308,3.134615
33,1,4.142857143,4.428571429,3.833333333,12.4,3,4,3.403846,3.557692
33,1,4.142857143,4.428571429,3.833333333,12.4,4,4,3.173077,2.538462
33,1,4.142857143,4.428571429,3.833333333,12.4,5,5,3.25,3.365385
34,1,4,2.714285714,3.333333333,10.05,1,2.5,3,3.25
34,1,4,2.714285714,3.333333333,10.05,2,3.5,2.961538,3.576923
34,1,4,2.714285714,3.333333333,10.05,3,4.5,3.307692,3.807692
34,1,4,2.714285714,3.333333333,10.05,4,1,2.903846,2.846154
34,1,4,2.714285714,3.333333333,10.05,5,4.5,3.173077,3.576923
35,1,3.714285714,2.714285714,3.166666667,9.6,1,4.5,2.961538,3.480769
35,1,3.714285714,2.714285714,3.166666667,9.6,2,4,3,3.576923
35,1,3.714285714,2.714285714,3.166666667,9.6,3,4,3.403846,3.788462
35,1,3.714285714,2.714285714,3.166666667,9.6,4,4.5,3,2.5
35,1,3.714285714,2.714285714,3.166666667,9.6,5,4,3.134615,3.384615
36,1,3.714285714,3.714285714,3.333333333,10.76,1,4,3.25,3.230769
36,1,3.714285714,3.714285714,3.333333333,10.76,2,3.5,2.769231,3.634615
36,1,3.714285714,3.714285714,3.333333333,10.76,3,3.5,3.769231,3.769231
36,1,3.714285714,3.714285714,3.333333333,10.76,4,3,3.057692,2.884615
36,1,3.714285714,3.714285714,3.333333333,10.76,5,3,3.173077,3.423077
37,1,3.571428571,3.714285714,2.5,9.79,1,1.5,3.230769,2.769231
37,1,3.571428571,3.714285714,2.5,9.79,2,2,2.711538,2.980769
37,1,3.571428571,3.714285714,2.5,9.79,3,2.5,3.25,3
37,1,3.571428571,3.714285714,2.5,9.79,4,5,2.769231,3.538462
37,1,3.571428571,3.714285714,2.5,9.79,5,3.5,3.076923,3.211538
38,1,3.428571429,3,2.833333333,9.26,1,3,2.666667,3.183333
38,1,3.428571429,3,2.833333333,9.26,2,3,2.816667,3.033333
38,1,3.428571429,3,2.833333333,9.26,3,3.5,3.283333,3.433333
38,1,3.428571429,3,2.833333333,9.26,4,4.5,3.166667,2.933333
38,1,3.428571429,3,2.833333333,9.26,5,4,3.05,3.116667
39,1,4.428571429,4.285714286,2.5,11.21,1,3,3.283333,2.9
39,1,4.428571429,4.285714286,2.5,11.21,2,3,2.916667,2.766667
39,1,4.428571429,4.285714286,2.5,11.21,3,3,3.5,3.316667
39,1,4.428571429,4.285714286,2.5,11.21,4,2.5,2.833333,3.033333
39,1,4.428571429,4.285714286,2.5,11.21,5,5,3.166667,3
40,1,4.285714286,2.571428571,1.666666667,8.52,1,2.5,3.316667,3.05
40,1,4.285714286,2.571428571,1.666666667,8.52,2,4,3.116667,3.583333
40,1,4.285714286,2.571428571,1.666666667,8.52,3,3,3.633333,3.616667
40,1,4.285714286,2.571428571,1.666666667,8.52,4,3,3.05,3.466667
40,1,4.285714286,2.571428571,1.666666667,8.52,5,5,3.533333,3.233333
41,1,3.571428571,3.857142857,3.166666667,10.6,1,4,3.616667,3.533333
41,1,3.571428571,3.857142857,3.166666667,10.6,2,4,2.766667,3.016667
41,1,3.571428571,3.857142857,3.166666667,10.6,3,2.5,3.383333,3.35
41,1,3.571428571,3.857142857,3.166666667,10.6,4,2,2.7,2.733333
41,1,3.571428571,3.857142857,3.166666667,10.6,5,3.5,3.15,3.166667
42,2,4.285714286,3.714285714,4.5,12.5,1,3,3.15,2.866667
42,2,4.285714286,3.714285714,4.5,12.5,2,3,3.083333,2.7
42,2,4.285714286,3.714285714,4.5,12.5,3,5,3.233333,2.466667
42,2,4.285714286,3.714285714,4.5,12.5,4,1.5,2.6,2.983333
42,2,4.285714286,3.714285714,4.5,12.5,5,3.5,3.033333,2.55
