"subject","Mixed_Forg","Mixed_Mem","SS3_Forg","SS3_Mem","SS6_Forg","SS6_Mem"
"60775b160763c2295eed4dbb",0.857638888888889,0.940972222222222,1,0.916666666666667,0.913194444444445,0.847222222222222
"6077a808b8d8534a901e5d78",0.878472222222222,0.868055555555556,0.96875,0.954861111111111,0.75,0.888888888888889
"607d8d87cda66ac1ec2b0efe",0.913194444444444,0.947916666666667,1,1,0.892361111111111,0.899305555555556
"608841496e9715786abdcd13",0.756944444444444,0.993055555555555,0.993055555555556,1,0.934027777777778,0.96875
"60b7e2e625f69678f2fe8912",0.902777777777778,0.979166666666667,1,1,0.961805555555556,0.954861111111111
"60c024ebe9f5a4229ecfb232",0.819444444444444,0.861111111111111,0.916666666666667,0.958333333333333,0.944444444444444,0.993055555555556
"60c6d6b60fc74b211f17dd",0.847222222222222,0.975694444444444,0.996527777777778,1,0.868055555555556,0.993055555555556
"60d4f6e4c21b5430bd96d280",0.850694444444444,0.996527777777778,1,1,0.798611111111111,0.947916666666667
"60da7907f703c1b473bdc28f",0.753472222222222,0.579861111111111,0.854166666666667,0.982638888888889,0.600694444444444,0.822916666666667
"60db790e6a3f598de0190e28",0.972222222222222,0.951388888888889,1,0.958333333333333,1,1
"60e5d47e17c05633eef565e3",0.604166666666667,0.78125,1,1,0.875,0.784722222222222
"60f6132952a37df66a042ef4",0.913194444444444,0.975694444444444,0.916666666666667,1,0.895833333333333,0.899305555555556
"60fcc830872e6203086fa1a6",0.961805555555556,1,1,1,0.885416666666667,0.954861111111111
"60fcdb88e0514055c6e6a03b",0.979166666666667,0.916666666666667,0.916666666666667,1,0.96875,0.836805555555556
"60fce68245a71b6cf578c52d",0.697916666666667,0.986111111111111,0.916666666666667,1,0.611111111111111,0.795138888888889
"60fd0f90835061fda42204e8",0.798611111111111,0.868055555555556,0.916666666666667,0.986111111111111,0.809027777777778,0.836805555555556
"60fd0fcc7708d38e6c269af3",1,0.916666666666667,0.916666666666667,1,0.708333333333333,0.826388888888889
"60fd22c43ca0a22679d24c9f",0.78125,0.847222222222222,0.90625,0.975694444444445,0.753472222222222,0.638888888888889
"60fd3245706969157168ad50",0.965277777777778,0.993055555555556,0.916666666666667,0.916666666666667,0.815972222222222,0.916666666666667
"60fd455e6d2c6409878f752c",0.829861111111111,0.885416666666667,0.913194444444444,0.986111111111111,0.805555555555555,0.805555555555555
"60fd50570dd4923fec4a6f50",0.822916666666667,1,0.954861111111111,0.916666666666667,0.756944444444444,0.989583333333333
"60fd55f559e7795b518f7438",0.809027777777778,0.958333333333333,1,1,0.902777777777778,0.881944444444444
"60fd9ef31458e2b4170b5a8f",0.600694444444445,0.770833333333333,0.6875,0.697916666666667,0.652777777777778,0.732638888888889
"60fda82c6d2d7be651a8e4b7",0.923611111111111,1,1,1,0.774305555555556,0.923611111111111
"60fdcc2afba2a30113dd5b1f",0.930555555555556,1,0.986111111111111,1,0.868055555555556,1
"60fddfdc3ffd5143f1d13edc",0.868055555555556,0.920138888888889,0.958333333333333,1,1,0.833333333333333
"60fded771d362f0624a42a38",0.913194444444444,0.947916666666667,1,1,0.902777777777778,0.923611111111111
"60fe01fbab0316f090acb6b9",0.527777777777778,0.222222222222222,0.520833333333333,0.545138888888889,0.4375,0.506944444444445
"60fe200b96dc1dcede7a3151",0.819444444444444,0.979166666666667,0.996527777777778,1,0.923611111111111,0.986111111111111
"60fe2ceaf1dbd49c6bcce5af",0.847222222222222,0.541666666666667,0.902777777777778,0.927083333333333,0.732638888888889,0.75
"60ff0c8a83c4bf36bf52df28",0.913194444444445,1,0.916666666666667,1,0.923611111111111,0.940972222222222
"60ff10b949a92707f6fafe2c",0.902777777777778,1,0.996527777777778,1,0.6875,0.996527777777778
"60ff4b84b52195c0b11131dd",0.743055555555556,0.895833333333333,0.833333333333333,1,0.784722222222222,0.940972222222222
"60fffc35ee80fc69ec730cea",0.819444444444444,0.934027777777778,0.9375,0.996527777777778,0.854166666666667,0.944444444444444
"6100107905b3a4acb93edba5",0.930555555555556,0.878472222222222,0.965277777777778,0.96875,0.864583333333333,0.829861111111111
"610024bfd6e1038ba3b1601d",0.649305555555556,0.961805555555556,0.972222222222222,1,0.993055555555556,1
"610030180e6429e36c3d07e4",0.795138888888889,0.986111111111111,0.996527777777778,1,0.871527777777778,1
"61003045d0f2c8b7ddb40dbd",0.947916666666667,0.958333333333333,0.958333333333333,1,0.986111111111111,0.993055555555556
"610049da8150fc6d3e6d6edc",0.819444444444445,0.909722222222222,1,1,0.895833333333333,0.888888888888889
