"Subj";"Trial";"b1";"b2";"b3";"b4";"Cat";"Imgname"
"s05";"57";64;67;94;2;"NR";"s06_sr19"
"s05";"58";58;62;89;2;"NR";"s06_sr15"
"s05";"59";88;88;71;3;"GA";"ga15"
"s05";"60";67;71;79;2;"NR";"s06_sr10"
"s05";"61";85;70;95;3;"NR";"s06_sr14"
"s05";"62";53;56;32;3;"SR";"s05_sr17"
"s05";"63";62;60;52;3;"SR";"s05_sr06"
"s05";"64";34;15;89;3;"RA";"ra08"
"s05";"65";51;48;5;3;"NR";"s06_sr04"
"s05";"66";84;90;28;3;"NR";"s06_sr02"
"s05";"67";50;67;99;2;"GA";"ga08"
"s05";"68";95;78;98;1;"SR";"s05_sr03"
"s05";"69";66;61;18;2;"SR";"s05_sr05"
"s05";"70";15;47;0;3;"RA";"ra13"
"s05";"71";81;81;11;3;"NR";"s06_sr17"
"s05";"72";20;23;1;3;"GA";"ga07"
"s05";"73";53;55;98;3;"RA";"ra05"
"s05";"74";99;99;64;2;"GA";"ga18"
"s05";"75";75;69;64;3;"NR";"s06_sr16"
"s05";"76";78;63;92;2;"SR";"s05_sr11"
"s05";"77";86;74;13;3;"SR";"s05_sr20"
"s05";"78";81;77;91;2;"GA";"ga13"
"s05";"79";48;66;83;2;"NR";"s06_sr03"
"s05";"80";38;54;15;3;"RA";"ra17"
"s07";"1";65;68;67;1;"NR";"s08_sr03"
"s07";"2";51;46;17;2;"RA";"ra01"
"s07";"3";61;42;20;2;"NR";"s08_sr18"
"s07";"4";41;8;61;3;"SR";"s07_sr13"
"s07";"5";18;30;52;2;"RA";"ra16"
"s07";"6";22;10;1;3;"GA";"ga16"
"s07";"7";58;59;25;2;"GA";"ga10"
"s07";"8";13;36;2;3;"SR";"s07_sr05"
"s07";"9";13;14;1;3;"RA";"ra09"
"s07";"10";30;31;51;2;"SR";"s07_sr16"
"s07";"11";44;82;61;2;"NR";"s08_sr20"
"s07";"12";59;67;63;1;"SR";"s07_sr15"
"s07";"13";83;95;99;1;"SR";"s07_sr01"
