Block;Subj;Trial;Response
b4;s01;56;2
b4;s01;57;2
b4;s01;58;2
b4;s01;59;2
b4;s01;60;2
b4;s01;61;2
b4;s01;62;3
b4;s01;63;3
b4;s01;64;3
b4;s01;65;3
b4;s01;66;3
b4;s01;67;3
b4;s01;68;3
b4;s01;69;2
b4;s01;70;2
b4;s01;71;3
b4;s01;72;3
b4;s01;73;2
b4;s01;74;1
b4;s01;75;2
b4;s01;76;2
b4;s01;77;2
b4;s01;78;2
b4;s01;79;3
b4;s01;80;3
b1;s07;1;65
b1;s07;2;51
b1;s07;3;61
b1;s07;4;41
b1;s07;5;18
b1;s07;6;22
b1;s07;7;58
b1;s07;8;13
b1;s07;9;13
b1;s07;10;30
b1;s07;11;44
b1;s07;12;59
b1;s07;13;83
b1;s07;14;32
b1;s07;15;44
b1;s07;16;46
b1;s07;17;51
b1;s07;18;63
b1;s07;19;28
b1;s07;20;70
b1;s07;21;32
b1;s07;22;43
b1;s07;23;35
b1;s07;24;40
b1;s07;25;98
b1;s07;26;51
b1;s07;27;52
b1;s07;28;53
b1;s07;29;43
b1;s07;30;64
b1;s07;31;50
b1;s07;32;40
b1;s07;33;10
b1;s07;34;10
b1;s07;35;35
b1;s07;36;32
b1;s07;37;15
b1;s07;38;15
b1;s07;39;73
b1;s07;40;59
b1;s07;41;54
b1;s07;42;41
b1;s07;43;64
b1;s07;44;70
b1;s07;45;49
b1;s07;46;46
b1;s07;47;61
b1;s07;48;32
b1;s07;49;47
b1;s07;50;9
b1;s07;51;42
b1;s07;52;18
b1;s07;53;29
b1;s07;54;36
b1;s07;55;51
b1;s07;56;50
b1;s07;57;59
b1;s07;58;44
b1;s07;59;36
b1;s07;60;27
b1;s07;61;72
b1;s07;62;64
b1;s07;63;72
b1;s07;64;60
b1;s07;65;1
b1;s07;66;12
b1;s07;67;15
b1;s07;68;27
b1;s07;69;61
b1;s07;70;51
b1;s07;71;6
b1;s07;72;26
b1;s07;73;44
b1;s07;74;28
b1;s07;75;63
b1;s07;76;89
b1;s07;77;81
b1;s07;78;49
b1;s07;79;98
b1;s07;80;18
b2;s07;1;68
b2;s07;2;46
b2;s07;3;42
b2;s07;4;8
b2;s07;5;30
b2;s07;6;10
b2;s07;7;59
b2;s07;8;36
b2;s07;9;14
b2;s07;10;31
b2;s07;11;82
b2;s07;12;67
b2;s07;13;95
b2;s07;14;24
b2;s07;15;23
b2;s07;16;42
b2;s07;17;49
b2;s07;18;58
b2;s07;19;8
b2;s07;20;78
b2;s07;21;20
b2;s07;22;25
b2;s07;23;41
b2;s07;24;34
b2;s07;25;86
b2;s07;26;64
b2;s07;27;56
b2;s07;28;38
b2;s07;29;52
b2;s07;30;67
b2;s07;31;40
b2;s07;32;43
b2;s07;33;15
b2;s07;34;22
b2;s07;35;40
b2;s07;36;29
b2;s07;37;15
b2;s07;38;36
b2;s07;39;84
b2;s07;40;76
b2;s07;41;71
b2;s07;42;52
b2;s07;43;81
b2;s07;44;80
b2;s07;45;47
b2;s07;46;15
b2;s07;47;58
b2;s07;48;40
b2;s07;49;44
b2;s07;50;14
b2;s07;51;57
b2;s07;52;23
b2;s07;53;30
b2;s07;54;48
b2;s07;55;44
b2;s07;56;38
b2;s07;57;57
b2;s07;58;44
b2;s07;59;23
b2;s07;60;30
b2;s07;61;73
b2;s07;62;71
b2;s07;63;72
b2;s07;64;72
b2;s07;65;1
b2;s07;66;13
b2;s07;67;17
b2;s07;68;43
b2;s07;69;60
b2;s07;70;58
b2;s07;71;6
b2;s07;72;31
b2;s07;73;54
b2;s07;74;11
b2;s07;75;76
b2;s07;76;91
b2;s07;77;77
b2;s07;78;64
b2;s07;79;94
b2;s07;80;29
b3;s07;1;67
b3;s07;2;17
b3;s07;3;20
b3;s07;4;61
b3;s07;5;52
b3;s07;6;1
b3;s07;7;25
b3;s07;8;2
b3;s07;9;1
b3;s07;10;51
b3;s07;11;61
b3;s07;12;63
b3;s07;13;99
b3;s07;14;2
b3;s07;15;11
b3;s07;16;0
b3;s07;17;59
b3;s07;18;50
b3;s07;19;73
b3;s07;20;37
b3;s07;21;2
b3;s07;22;12
b3;s07;23;0
b3;s07;24;2
b3;s07;25;99
b3;s07;26;6
b3;s07;27;47
b3;s07;28;2
b3;s07;29;61
b3;s07;30;66
b3;s07;31;2
b3;s07;32;20
b3;s07;33;1
b3;s07;34;7
b3;s07;35;3
b3;s07;36;2
b3;s07;37;4
b3;s07;38;55
b3;s07;39;63
b3;s07;40;0
b3;s07;41;31
b3;s07;42;27
b3;s07;43;67
b3;s07;44;60
b3;s07;45;35
b3;s07;46;2
b3;s07;47;71
b3;s07;48;29
b3;s07;49;7
b3;s07;50;1
b3;s07;51;1
b3;s07;52;5
b3;s07;53;11
b3;s07;54;87
b3;s07;55;0
b3;s07;56;4
b3;s07;57;8
b3;s07;58;67
b3;s07;59;0
b3;s07;60;1
b3;s07;61;55
b3;s07;62;55
b3;s07;63;42
b3;s07;64;21
b3;s07;65;0
b3;s07;66;3
b3;s07;67;0
b3;s07;68;46
b3;s07;69;58
b3;s07;70;9
b3;s07;71;0
b3;s07;72;6
b3;s07;73;59
b3;s07;74;92
b3;s07;75;82
b3;s07;76;62
b3;s07;77;55
b3;s07;78;62
b3;s07;79;100
b3;s07;80;13
b4;s07;1;1
b4;s07;2;2
b4;s07;3;2
b4;s07;4;3
b4;s07;5;2
b4;s07;6;3
b4;s07;7;2
b4;s07;8;3
b4;s07;9;3
b4;s07;10;2
b4;s07;11;2
b4;s07;12;1
b4;s07;13;1
b4;s07;14;3
b4;s07;15;2
b4;s07;16;3
b4;s07;17;2
b4;s07;18;2
b4;s07;19;2
b4;s07;20;2
b4;s07;21;3
b4;s07;22;3
b4;s07;23;3
b4;s07;24;3
b4;s07;25;1
b4;s07;26;3
b4;s07;27;2
b4;s07;28;3
b4;s07;29;2
b4;s07;30;2
b4;s07;31;3
b4;s07;32;3
b4;s07;33;3
b4;s07;34;2
b4;s07;35;2
b4;s07;36;3
b4;s07;37;3
b4;s07;38;2
b4;s07;39;2
b4;s07;40;3
b4;s07;41;2
b4;s07;42;2
b4;s07;43;2
b4;s07;44;2
b4;s07;45;2
b4;s07;46;3
b4;s07;47;2
b4;s07;48;2
b4;s07;49;3
