country,subj_id,gender,age,experimenter,location,target_cat,target_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response
Vanuatu,vt_adults_003_children,female,16,LT,Espigles Bay Malekula,universal,children,children,3,25,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1
Vanuatu,vt_adults_003_children,female,16,LT,Espigles Bay Malekula,universal,children,children,3,26,universal add-on,have minds,[NONE],yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,1,universal,feel happy,like when you feel good,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,2,universal,get hungry,like when you feel like you need to eat something,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,3,universal,feel tired,like when you feel sleepy,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,4,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,5,universal,feel shy,like when you feel quiet or embarrassed,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,6,universal,pray,like when you pray,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,7,universal,get angry,like when you feel mad,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,8,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,9,universal,feel guilty,like when you feel bad because you did something mean,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,10,universal,think about things,like when you have a thought or an idea about something,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,11,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,12,universal,feel sad,like when you feel bad or unhappy,yes,yes,1
