country,subj_id,gender,age,experimenter,location,target_cat,target_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,12,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,13,universal,feel pain,like when something hurts you,yes,yes,1,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,14,universal,"feel sick, like when you feel like you might vomit",[NONE],no,no,0,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,15,universal,get angry,like when you feel mad,no,no,0,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,16,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,kind of,kind of,0.5,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,17,universal,feel happy,like when you feel good,kind of,kind of,0.5,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,18,universal,sense when things are far away,like when you see that something is far away from you,kind of,kind of,0.5,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,19,universal,smell things,"like when you can tell if something smells sweet, or rotten",no,no,0,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,20,universal,get hungry,like when you feel like you need to eat something,kind of,kind of,0.5,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,21,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,22,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,23,universal,figure out how to do things,like when you learn a new fact or understand something new,kind of,kind of,0.5,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,24,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,25,universal add-on,have minds,[NONE],yes,yes,1,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,26,universal add-on,have souls,[NONE],yes,yes,1,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,1,universal,feel proud,like when you feel really good about something you did,kind of,kind of,0.5,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,2,universal,feel scared,like when you feel afraid,yes,yes,1,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,3,universal,hear things,like when you hear a noise,yes,yes,1,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,4,universal,sense when things are far away,like when you see that something is far away from you,kind of,kind of,0.5,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,5,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,6,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1,They do feel
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,7,universal,remember things,like when you remember something that happened before,yes,yes,1,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,8,universal,feel pain,like when something hurts you,yes,yes,1,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,9,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1,They do smell
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,10,universal,choose what to do,like when you decide between different things,no,no,0,Probably not
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,11,universal,sense temperatures,like when you can tell if something is warm or cool,kind of,kind of,0.5,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,12,universal,feel sad,like when you feel bad or unhappy,kind of,kind of,0.5,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,13,universal,figure out how to do things,like when you learn a new fact or understand something new,no,no,0,I don't think they do
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,14,universal,think about things,like when you have a thought or an idea about something,no,no,0,"Do they think, right?"
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,15,universal,feel guilty,like when you feel bad because you did something mean,kind of,kind of,0.5,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,16,universal,"feel sick, like when you feel like you might vomit",[NONE],kind of,kind of,0.5,Sometimes
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,17,universal,get angry,like when you feel mad,kind of,kind of,0.5,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,18,universal,pray,like when you pray,no,no,0,*Laugh*
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,19,universal,feel shy,like when you feel quiet or embarrassed,no,no,0,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,20,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,kind of,kind of,0.5,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,21,universal,feel tired,like when you feel sleepy,kind of,kind of,0.5,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,22,universal,get hungry,like when you feel like you need to eat something,yes,yes,1,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,23,universal,feel happy,like when you feel good,kind of,kind of,0.5,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,24,universal add-on,have souls,[NONE],kind of,kind of,0.5,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,25,universal add-on,have minds,[NONE],yes,yes,1,NA
Thailand,th_adults_005_dogs,male,30,PU,Bus Terminal 3,universal,dogs,dogs,5,26,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,1,universal,choose what to do,like when you decide between different things,no,no,0,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,2,universal,feel happy,like when you feel good,yes,yes,1,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,3,universal,feel pain,like when something hurts you,no,no,0,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,4,universal,think about things,like when you have a thought or an idea about something,kind of,kind of,0.5,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,5,universal,feel guilty,like when you feel bad because you did something mean,yes,yes,1,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,6,universal,feel love,like when you really like somebody and care about them a lot,kind of,kind of,0.5,They do
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,7,universal,get hungry,like when you feel like you need to eat something,yes,yes,1,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,8,universal,hear things,like when you hear a noise,yes,yes,1,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,9,universal,pray,like when you pray,kind of,kind of,0.5,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,10,universal,smell things,"like when you can tell if something smells sweet, or rotten",no,no,0,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,11,universal,sense when things are far away,like when you see that something is far away from you,kind of,kind of,0.5,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,12,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,yes,yes,1,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,13,universal,remember things,like when you remember something that happened before,kind of,kind of,0.5,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,14,universal,sense temperatures,like when you can tell if something is warm or cool,kind of,kind of,0.5,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,15,universal,feel scared,like when you feel afraid,kind of,kind of,0.5,NA
Thailand,th_adults_006_flowers,female,25,Mui,Arcade 3,universal,flowers,flowers,6,16,universal,feel shy,like when you feel quiet or embarrassed,kind of,kind of,0.5,NA
