age,ideo_extr,p_identity,sm_use_politics_slider,overperception
30,1,6,67,0.142857143
22,2,5,0,0.714285714
48,1,5,NA,0.933333333
36,2,6,0,1.068965517
52,1,6,6,-0.2
28,2,7,10,0.866666667
32,1,6,2,-0.3
19,1,5,NA,-0.5
57,2,7,NA,-0.166666667
20,2,5,NA,2.1
29,1,2,0,0.933333333
45,3,6,5,0
41,1,6,2,-0.533333333
33,2,4,0,-0.344827586
37,2,5,4,0.8
34,1,4,20,0.933333333
32,2,6,NA,0.866666667
28,2,6,10,0
31,3,7,NA,0.1
53,2,6,0,0.933333333
26,1,5,5,2.8
81,0,6,NA,0.862068966
38,1,6,NA,0.2
22,3,7,5,0.551724138
66,3,7,10,0.833333333
57,3,7,0,0.785714286
35,3,7,4,1.1
29,2,6,NA,1.633333333
27,3,7,9,2.551724138
53,0,5,NA,-0.233333333
32,2,7,0,1.103448276
26,2,7,NA,1.3
30,1,5,27,0.103448276
25,1,5,NA,0.4
41,1,5,5,0.1
34,3,7,87,0.107142857
19,1,5,52,0.333333333
41,3,7,0,0.333333333
46,1,4,0,0.857142857
28,1,4,5,0.866666667
34,2,6,30,0.4
42,1,6,10,-0.233333333
49,1,6,NA,1.666666667
30,1,7,2,0.633333333
58,3,4,6,-0.133333333
28,2,6,31,-0.586206897
30,1,5,3,0.428571429
18,0,3,15,-0.366666667
59,2,5,100,1.666666667
32,3,7,0,0
35,2,5,50,1.214285714
27,3,7,91,1.8
28,0,4,2,0.133333333
60,2,6,20,1.1
44,2,6,1,1.633333333
49,2,6,0,-0.2
47,2,7,10,0.9
22,2,5,4,0.933333333
30,1,4,0,-0.05
24,2,6,0,0.448275862
35,1,3,5,0.666666667
21,1,5,NA,0.466666667
33,2,6,0,-1.071428571
30,1,5,NA,1.433333333
26,2,7,61,0.24137931
40,3,5,12,0.533333333
23,1,3,NA,0.827586207
61,2,5,NA,1.4
21,1,6,8,-0.5
29,2,5,NA,1.9
30,3,7,5,2.533333333
20,2,6,0,0.071428571
56,3,7,10,0.966666667
19,2,6,NA,1.566666667
29,2,6,0,0.724137931
44,3,7,1,2.233333333
31,1,5,2,0.137931034
66,3,7,0,-0.9
29,2,6,2,0.166666667
50,1,7,4,0.379310345
51,2,5,15,-0.1
32,1,4,51,0
25,1,6,NA,-0.1
47,1,5,36,0.6
32,3,7,80,0.107142857
67,1,5,1,0.464285714
40,1,7,10,0.066666667
28,3,7,3,1
34,1,7,6,-0.24137931
35,1,6,5,0.266666667
37,1,3,0,-0.035714286
30,1,5,14,0.357142857
56,2,7,0,0.1
22,1,5,2,0.433333333
40,2,7,13,1.466666667
68,2,7,NA,1.333333333
19,2,4,2,0.15
43,1,4,1,0.45
35,1,6,1,0.933333333
31,1,4,1,0.8
32,3,7,0,0.9
54,3,7,1,0.24137931
37,1,7,100,1.833333333
64,1,4,0,0.266666667
48,1,5,6,0.066666667
65,2,5,1,0.066666667
40,2,7,20,1.931034483
89,1,6,0,-0.1
37,1,5,10,1.607142857
27,1,4,5,0.9
46,3,7,5,0.7
30,1,5,0,0.464285714
37,2,6,0,-0.6
34,2,7,0,0.633333333
38,2,7,10,1.266666667
49,2,6,8,-0.1
27,1,6,82,2.233333333
28,3,7,61,1.5
42,1,5,57,-0.033333333
55,0,5,2,-0.3
22,1,4,NA,0.793103448
28,1,6,40,1.633333333
31,1,4,24,0.206896552
36,1,5,10,2.066666667
40,1,5,13,0.9
64,3,7,50,0.866666667
42,1,7,33,1.566666667
58,1,5,NA,-0.866666667
27,1,5,6,1.466666667
27,3,7,42,-0.2
59,3,6,9,0.551724138
21,2,6,NA,-0.1
35,2,1,0,0.689655172
23,1,6,NA,-0.7
34,1,4,1,0.05
36,1,7,58,0.928571429
28,2,6,NA,-1.178571429
37,1,5,3,1.4
22,1,5,NA,1.137931034
20,1,6,0,0.966666667
32,2,7,NA,0.6
44,3,4,0,0.3
31,2,6,10,0
32,1,7,56,0.1
40,2,6,7,0.2
38,3,7,2,1.321428571
73,1,4,7,0.55
40,0,2,4,0.35
45,2,7,20,0.964285714
35,3,7,48,0.633333333
24,1,5,1,0.533333333
18,1,3,12,0
37,2,6,1,-0.9
21,1,5,1,-0.379310345
37,1,6,4,2.733333333
35,1,5,0,1.733333333
51,3,7,10,0.428571429
39,2,5,80,0.724137931
32,2,6,100,0.178571429
32,0,5,20,1.433333333
35,1,6,7,0.35
27,1,4,5,1.433333333
30,0,5,5,2.866666667
35,0,6,49,0.7
36,3,7,10,1.333333333
18,1,5,10,-0.333333333
35,0,7,NA,-0.233333333
31,2,6,5,0.25
27,1,4,4,-0.233333333
51,1,4,0,0.966666667
30,2,7,18,0.607142857
26,1,6,NA,1
34,3,7,88,1.310344828
23,2,7,16,-1.285714286
48,3,7,NA,0.633333333
45,1,6,65,1.8
29,2,7,NA,1.35
27,1,4,8,0.2
47,2,6,8,1.3
22,1,4,70,0.766666667
73,2,5,NA,1.066666667
29,1,7,73,0.482758621
29,2,6,81,1.551724138
30,2,6,31,1.533333333
66,2,5,NA,0.966666667
30,0,7,81,0.285714286
42,0,4,2,-0.566666667
30,3,7,9,1.433333333
27,1,5,11,1.533333333
22,1,4,1,0.5
30,2,7,32,0.4
32,1,5,NA,0.133333333
56,1,6,2,0.285714286
44,3,7,20,0.3
23,3,7,NA,0.233333333
40,3,6,15,1.633333333
33,1,7,60,0.966666667
19,1,3,0,-0.566666667
30,1,6,15,-0.966666667
32,2,6,NA,1.166666667
