condition,network_outrage,political_party,political_ideology,rep_identity,dem_identity,barr_check,barrett_check,seen_quiz,unseen_quiz,barr_familiar,barr_post,barrett_familiar,barrett_post,follow_politics,vote_2016,vote_2018,vote_2020,sm_freq,sm_daily_freq,sm_political_freq,sm_daily_political_freq,sm_share_reason,sm_platforms,online_news_outlets,twitter_handle,mood,gender,ethnicity,age,education
Low Overperception,5,Republican,6,1,-2,1,1,0,1,1,No,2,Uncertain / Do not remember,2,Yes,Yes,Republican Donald Trump,4-6 times a week,0,4-6 times a week,0,"['I want people to see the content', ""I want to change people's opinions"", 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'NY Times', 'Washington Post', 'Other']",@1776notinvain,2,female,NA,72,Postgraduate/Professional degree/other
High Overperception,5,Republican,6,2,-2,1,1,0,1,-3,No,0,No,0,No,No,Republican Donald Trump,Daily or more,19,Never,0,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']",['Fox News'],NA,3,Female,['White'],42,Postgraduate/Professional degree/other
Low Overperception,3,Democrat,3,-3,1,1,1,0,1,-3,No,-3,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,5,Once per week,0,"['I want to make people laugh', 'The content represents my beliefs or attitudes']","['Facebook', 'Instagram', 'TikTok']","['Yahoo! News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",no,3,female,['White'],29,Some college
Low Overperception,2,Democrat,2,-3,2,1,1,0,1,1,No,3,No,2,Yes,Yes,Democrat Joe Biden,4-6 times a week,9,Never,0,['I want people to see the content'],"['Twitter', 'YouTube', 'Twitch']","['CNN', 'NY Times']",NA,3,Male,"['Hispanic, Latinx, or Spanish origin']",31,4 year degree
High Overperception,6,Democrat,3,-1,1,1,1,0,1,-2,No,-1,No,-2,Yes,No,Democrat Joe Biden,Daily or more,62,Between once per week and once per month,5,['I want people to see the content'],"['Facebook', 'Instagram', 'YouTube']","['Fox News', 'CNN', 'MSN News', 'NY Times', 'Washington Post']",@fourpalms_,4,Female,"['American Indian or Alaska Native', 'Asian', 'White']",38,4 year degree
Low Overperception,2,Republican,5,1,-1,1,1,0,1,-3,No,-3,No,-3,No,NA,I did not vote,Daily or more,2,Between once per week and once per month,4,"['I want people to see the content', 'I want to make people laugh']","['Facebook', 'Instagram', 'YouTube']",['None'],NA,4,female,['White'],30,2 year degree
High Overperception,7,Democrat,2,-2,2,1,1,1,2,-3,No,-3,No,-2,Yes,No,I did not vote,Between once per week and once per month,5,Never,4,['I want to make people laugh'],"['Twitter', 'Facebook']",['CNN'],NA,3,female,['White'],26,2 year degree
High Overperception,7,Democrat,3,-3,2,1,1,0,1,-3,No,-3,No,-3,No,No,Democrat Joe Biden,Daily or more,4,Never,0,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']",['None'],NA,3,female,['Asian'],29,4 year degree
High Overperception,5,Republican,5,2,-3,0,1,0,1,-2,No,-1,No,-1,No,No,Republican Donald Trump,4-6 times a week,0,Between once per week and once per month,0,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'Facebook', 'Instagram', 'TikTok']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,3,female,['White'],49,High school
Low Overperception,3,Democrat,2,-2,2,1,1,0,1,-1,No,2,No,1,Yes,Yes,Democrat Joe Biden,Daily or more,14,2-3 times a week,1,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Yahoo! News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,Male,['White'],36,4 year degree
High Overperception,7,Democrat,2,-2,2,1,1,0,1,0,No,0,No,2,Yes,Yes,Democrat Joe Biden,Daily or more,13,4-6 times a week,6,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['TikTok', 'YouTube', 'Other']","['CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,Female,['White'],22,4 year degree
High Overperception,5,Republican,5,3,-3,1,1,1,1,0,No,-2,No,1,Yes,Yes,Republican Donald Trump,Daily or more,8,4-6 times a week,5,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Twitch']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,male,['Asian'],52,4 year degree
High Overperception,7,Democrat,1,-3,3,1,1,0,1,3,Yes,3,Yes,3,Yes,Yes,Democrat Joe Biden,Daily or more,20,Daily or more,14,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Five Thirty Eight', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",@kahluaandrum,3,female,['White'],63,4 year degree
Low Overperception,4,Democrat,5,-2,2,1,1,0,1,-1,No,-1,No,-2,Yes,No,Democrat Joe Biden,2-3 times a week,33,4-6 times a week,26,"['I want people to see the content', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN']",NA,1,male,['Black or African American'],41,2 year degree
High Overperception,6,Republican,6,3,-1,0,1,0,0,2,No,NA,NA,2,Yes,No,Republican Donald Trump,Daily or more,80,2-3 times a week,29,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'Washington Post', 'Huffington Post']",NA,1,male,['Black or African American'],40,Postgraduate/Professional degree/other
High Overperception,5,Republican,7,3,-3,0,0,0,1,-3,No,-3,No,-2,No,No,I did not vote,Daily or more,5,Never,0,['The content represents my beliefs or attitudes'],"['Facebook', 'YouTube']","['Fox News', 'CNN']",NA,4,female,['White'],41,Some college
Low Overperception,4,Democrat,2,-3,2,1,1,0,0,0,No,-1,No,2,No,Yes,Democrat Joe Biden,Daily or more,23,2-3 times a week,4,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Twitch']","['Five Thirty Eight', 'CNN', 'MSN News', 'NY Times', 'Washington Post']",NA,2,Male,['White'],23,4 year degree
High Overperception,7,An Independent,6,3,-3,1,1,0,1,NA,NA,0,No,-2,Yes,Yes,Republican Donald Trump,Daily or more,28,Never,0,['I want to make people laugh'],"['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Twitch']",['None'],NA,3,male,['White'],35,4 year degree
Low Overperception,3,Democrat,2,-3,2,1,1,0,1,0,Yes,3,Uncertain / Do not remember,3,Yes,Yes,Democrat Joe Biden,Daily or more,76,Daily or more,86,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Five Thirty Eight', 'Yahoo! News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",@FRozanc,1,Male,['White'],56,Postgraduate/Professional degree/other
High Overperception,7,Democrat,3,-1,1,1,1,0,1,-3,No,-3,No,-3,No,Yes,Democrat Joe Biden,Daily or more,1,Never,0,['Other'],"['Facebook', 'Instagram', 'YouTube', 'Other']","['NY Times', 'Washington Post', 'Huffington Post']",NA,2,Male,NA,54,Some college
High Overperception,6,Republican,6,3,-3,1,1,0,1,2,Yes,3,Yes,2,Yes,Yes,Republican Donald Trump,Daily or more,10,2-3 times a week,0,"['I want people to see the content', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,1,male,['Black or African American'],45,4 year degree
High Overperception,5,Republican,7,2,-3,1,1,0,1,-2,No,0,No,0,Yes,Yes,Republican Donald Trump,Daily or more,20,Between once per week and once per month,0,"['I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram']","['Drudge Report', 'Yahoo! News']",NA,1,male,['White'],44,Postgraduate/Professional degree/other
High Overperception,7,Republican,5,2,-3,1,1,0,1,1,No,3,No,2,Yes,Yes,Republican Donald Trump,Daily or more,29,Daily or more,14,['I want to make people laugh'],"['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Drudge Report', 'Fox News', 'Five Thirty Eight']",NA,3,male,['White'],34,4 year degree
Low Overperception,6,Democrat,2,-2,2,1,1,0,1,-3,No,-3,No,0,No,No,I did not vote,Daily or more,19,Once per week,2,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['CNN', 'NY Times']",NA,1,female,['White'],24,Postgraduate/Professional degree/other
Low Overperception,3,Democrat,1,-3,3,1,1,0,1,-2,No,2,No,1,Yes,No,Democrat Joe Biden,Daily or more,73,2-3 times a week,27,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']",['None'],NA,2,female,"['Asian', 'Black or African American', 'White']",22,High school
Low Overperception,5,Democrat,1,-3,2,1,1,0,1,3,No,3,Yes,3,Yes,Yes,Democrat Joe Biden,Daily or more,10,Daily or more,31,"['I want people to see the content', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Instagram', 'YouTube']","['Five Thirty Eight', 'Yahoo! News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,Male,['White'],24,4 year degree
High Overperception,6,Democrat,3,-1,1,1,1,0,1,-3,No,-2,No,0,No,No,NA,Daily or more,1,Between once per month and once per year,0,['I want people to see the content'],"['Twitter', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'NY Times', 'Washington Post']",NA,2,male,['White'],64,Postgraduate/Professional degree/other
High Overperception,7,Democrat,2,-3,3,1,1,0,1,0,No,3,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,4,Never,0,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['CNN', 'MSN News', 'NY Times', 'Washington Post', 'Other']",NA,1,Male,['White'],55,Postgraduate/Professional degree/other
High Overperception,6,Democrat,2,-2,2,1,1,0,1,0,No,1,No,0,No,No,Democrat Joe Biden,Daily or more,5,Daily or more,1,['I want to make people laugh'],"['Twitter', 'Facebook', 'Instagram']","['CNN', 'NY Times', 'Washington Post']",NA,2,female,['White'],33,4 year degree
High Overperception,4,Democrat,1,-3,3,1,1,0,1,0,No,0,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,9,Never,0,"[""I want to change people's opinions""]","['Twitter', 'Facebook', 'Instagram', 'YouTube']",['None'],NA,1,female,['White'],54,High school
Low Overperception,3,Democrat,3,-2,3,1,1,0,1,0,No,-1,No,1,No,No,I did not vote,Daily or more,74,Between once per week and once per month,0,"['I want people to see the content', 'I want to make people laugh']","['Facebook', 'Instagram', 'YouTube']","['CNN', 'NY Times', 'Washington Post']",NA,1,female,NA,53,Some college
High Overperception,7,Republican,6,3,-3,1,1,0,1,3,No,3,No,3,Yes,Yes,Republican Donald Trump,Daily or more,9,Never,0,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Facebook', 'Instagram', 'TikTok', 'YouTube']",['None'],NA,2,male,['White'],48,4 year degree
Low Overperception,5,Democrat,2,-3,2,1,1,0,1,0,No,2,No,1,Yes,Yes,Democrat Joe Biden,4-6 times a week,5,Never,0,[],"['Facebook', 'Instagram', 'YouTube', 'Twitch']","['Fox News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,Male,['White'],25,4 year degree
High Overperception,4,Republican,5,3,-3,1,1,0,1,-3,Uncertain / Do not remember,-3,No,-3,Yes,No,Republican Donald Trump,Daily or more,80,Never,18,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions"", 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['CNN', 'Washington Post']",NA,4,female,['White'],29,Some high school
High Overperception,4,Democrat,1,-3,3,1,1,0,1,0,No,0,No,0,Yes,Yes,Democrat Joe Biden,Once per week,0,Never,0,['Other'],"['Twitter', 'Facebook', 'YouTube']","['Five Thirty Eight', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,female,['Asian'],29,Postgraduate/Professional degree/other
Low Overperception,4,Democrat,1,-3,2,1,1,0,1,2,Uncertain / Do not remember,2,Uncertain / Do not remember,3,Yes,Yes,Democrat Joe Biden,Daily or more,30,Daily or more,24,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Other']","['Fox News', 'Five Thirty Eight', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",fastrunner5,3,male,NA,47,4 year degree
High Overperception,7,Democrat,3,-2,1,1,1,0,1,0,Uncertain / Do not remember,2,Yes,1,Yes,Yes,Democrat Joe Biden,4-6 times a week,0,4-6 times a week,0,['The content represents my beliefs or attitudes'],['Twitter'],"['MSN News', 'Washington Post', 'Huffington Post', 'Other']",NA,3,female,['White'],44,High school
Low Overperception,6,Democrat,1,-3,1,1,1,0,1,-1,No,-1,No,0,No,No,Democrat Joe Biden,Daily or more,30,Once per week,0,['I want people to see the content'],"['Facebook', 'Instagram', 'YouTube']","['CNN', 'NY Times', 'Huffington Post']",NA,3,male,"['White', 'Asian']",22,Some college
High Overperception,6,Republican,6,2,-2,1,1,0,1,-2,No,1,No,2,No,Uncertain / Do not remember,Republican Donald Trump,Daily or more,12,2-3 times a week,5,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post']",NA,2,female,['White'],21,High school
High Overperception,4,Republican,6,3,-3,1,1,1,1,-2,No,2,No,3,Yes,Yes,Republican Donald Trump,Daily or more,19,Once per week,19,"[""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Twitch']","['Drudge Report', 'Fox News', 'Yahoo! News']",NA,2,Male,"['Hispanic, Latinx, or Spanish origin']",35,High school
Low Overperception,7,Democrat,2,-3,3,1,1,0,1,0,No,3,No,0,No,Yes,Democrat Joe Biden,Daily or more,77,2-3 times a week,78,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,1,Male,['White'],26,Postgraduate/Professional degree/other
High Overperception,6,Democrat,3,-2,1,1,1,1,1,-1,No,3,No,1,No,No,Democrat Joe Biden,Daily or more,40,4-6 times a week,41,"['I want people to see the content', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes']",['Facebook'],"['Fox News', 'Yahoo! News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,Female,"['Asian', 'Middle Eastern or North African', 'White']",21,4 year degree
Low Overperception,3,Democrat,1,-2,3,1,1,0,1,0,No,2,No,1,Yes,Yes,Democrat Joe Biden,2-3 times a week,0,2-3 times a week,0,"['I want people to see the content', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'YouTube']","['Fox News', 'Five Thirty Eight', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,3,Male,['White'],24,4 year degree
High Overperception,5,Republican,6,2,-3,1,1,0,1,-2,No,0,No,-1,Yes,Yes,Republican Donald Trump,Daily or more,3,4-6 times a week,2,"['I want to make people laugh', ""I want to change people's opinions""]",['YouTube'],"['Fox News', 'Other']",NA,3,male,['Prefer not to say'],38,4 year degree
Low Overperception,2,Republican,5,1,-2,1,1,1,1,-1,No,1,No,0,Yes,Yes,Republican Donald Trump,Daily or more,12,Daily or more,9,['I want to make people laugh'],"['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'NY Times', 'Washington Post']",NA,2,M,NA,NA,Some college
High Overperception,6,Republican,5,2,-2,1,1,0,1,-3,No,-1,No,-1,Yes,Uncertain / Do not remember,Republican Donald Trump,Daily or more,9,Between once per month and once per year,0,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['Fox News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,Female,['White'],26,4 year degree
Low Overperception,2,Democrat,1,-2,3,1,1,0,1,0,No,3,No,1,Yes,Yes,Democrat Joe Biden,Daily or more,3,2-3 times a week,0,['The content represents my beliefs or attitudes'],"['Twitter', 'Facebook', 'YouTube', 'Twitch']","['Fox News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,3,female,['White'],52,4 year degree
High Overperception,5,Democrat,1,-3,3,1,1,0,1,-1,No,0,No,1,Yes,Yes,Democrat Joe Biden,Never,0,Never,0,[],['YouTube'],['None'],NA,3,F,['White'],39,4 year degree
High Overperception,6,Republican,5,0,-3,1,1,0,1,3,No,3,No,2,No,No,I did not vote,Daily or more,41,Daily or more,9,"['I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Instagram', 'TikTok', 'YouTube', 'Twitch']",['None'],NA,3,male,['White'],37,Some college
Low Overperception,1,Republican,5,1,-1,1,1,1,1,0,No,0,Yes,1,No,No,Republican Donald Trump,Daily or more,60,Daily or more,77,"['I want people to see the content', ""I want to change people's opinions""]","['Twitter', 'Instagram', 'TikTok', 'YouTube']","['Drudge Report', 'CNN', 'NY Times', 'Huffington Post']",NA,3,female,"['Hispanic, Latinx, or Spanish origin']",20,Some college
Low Overperception,2,Republican,6,3,-2,1,1,1,1,-1,No,0,No,1,Yes,No,Republican Donald Trump,2-3 times a week,4,Never,0,"['The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']",['Facebook'],['Fox News'],NA,2,male,['White'],74,Postgraduate/Professional degree/other
Low Overperception,4,Republican,5,2,-2,1,1,0,1,1,Yes,1,Uncertain / Do not remember,0,Yes,Yes,Prefer not to say,2-3 times a week,0,Never,0,['I want people to see the content'],['Twitter'],"['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post']",NA,3,Female,['White'],25,4 year degree
Low Overperception,3,Democrat,2,-3,2,1,1,0,1,1,No,3,No,2,No,No,Democrat Joe Biden,Daily or more,70,Daily or more,80,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']",['Other'],NA,3,male,['White'],23,Some college
Low Overperception,2,Republican,5,2,-1,1,1,0,1,0,No,1,No,1,Yes,Yes,Republican Donald Trump,Daily or more,70,2-3 times a week,39,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Other']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",@buckeyesara1982,2,Female,['White'],39,4 year degree
Low Overperception,5,Democrat,3,-1,1,1,1,0,1,1,No,1,No,1,No,No,Democrat Joe Biden,Daily or more,10,4-6 times a week,0,"['I want people to see the content', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['CNN', 'NY Times', 'Washington Post']",NA,3,Female,['White'],21,4 year degree
Low Overperception,5,Democrat,3,-1,1,1,1,0,1,-1,No,NA,No,0,No,No,I did not vote,Daily or more,50,Once per week,50,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions"", 'I want to troll people', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'YouTube']","['CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,male,['Asian'],23,4 year degree
High Overperception,7,Democrat,2,-3,1,1,1,1,1,-2,No,3,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,1,Never,0,[],['YouTube'],"['Five Thirty Eight', 'NY Times', 'Huffington Post', 'Other']",NA,3,female,"['Hispanic, Latinx, or Spanish origin', 'White']",29,Postgraduate/Professional degree/other
Low Overperception,3,Democrat,2,-3,2,1,1,0,1,0,No,3,Uncertain / Do not remember,0,No,No,Democrat Joe Biden,Daily or more,60,4-6 times a week,8,"['I want people to see the content', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,Female,['Black or African American'],19,Some college
Low Overperception,2,Democrat,2,-3,3,1,1,0,1,-3,No,0,No,0,No,Uncertain / Do not remember,Democrat Joe Biden,Daily or more,9,Never,0,['I want people to see the content'],"['Twitter', 'YouTube']",['Other'],NA,3,male,['White'],40,2 year degree
High Overperception,6,Democrat,1,-1,2,1,1,0,1,-2,No,1,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,18,Between once per week and once per month,0,"['I want people to see the content', 'Other']","['Twitter', 'Facebook', 'YouTube', 'Twitch']","['Five Thirty Eight', 'Yahoo! News', 'NY Times', 'Washington Post', 'Other']",NA,3,Male,['Asian'],23,4 year degree
Low Overperception,NA,Republican,7,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FEMALE,['White'],31,Postgraduate/Professional degree/other
Low Overperception,4,Republican,5,1,-1,1,1,0,1,-3,No,-3,No,-2,No,No,I did not vote,Once per week,0,Between once per month and once per year,0,['I want to make people laugh'],"['Facebook', 'Instagram', 'YouTube']","['CNN', 'Other']",NA,3,Male,['White'],31,4 year degree
Low Overperception,3,Democrat,2,-3,0,1,1,0,1,-3,No,-2,No,-1,Yes,Yes,Democrat Joe Biden,Daily or more,9,2-3 times a week,2,[],"['Twitter', 'YouTube', 'Twitch']","['Five Thirty Eight', 'CNN', 'NY Times', 'Washington Post', 'Other']",NA,4,male,['White'],38,2 year degree
Low Overperception,3,Democrat,2,-1,3,1,1,1,1,-2,No,-2,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,3,Once per week,1,"['I want to make people laugh', ""I want to change people's opinions""]","['Twitter', 'Facebook', 'Instagram']","['Fox News', 'CNN']",NA,2,f,['White'],56,4 year degree
High Overperception,6,Republican,5,2,-1,1,1,0,1,-3,No,-3,No,-2,Yes,No,I did not vote,Daily or more,23,Never,0,['Other'],"['Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'CNN', 'NY Times']",NA,3,female,['White'],22,2 year degree
High Overperception,6,Democrat,3,-2,1,1,1,0,1,-1,No,1,No,0,Yes,Yes,Democrat Joe Biden,4-6 times a week,3,2-3 times a week,0,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Instagram', 'TikTok', 'YouTube']","['Huffington Post', 'Other']",NA,2,Female,['White'],30,4 year degree
High Overperception,7,Republican,5,2,-1,1,1,0,1,-1,No,0,No,-1,No,No,Republican Donald Trump,Daily or more,29,Between once per month and once per year,0,"['I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Facebook', 'Instagram', 'YouTube']",['Fox News'],NA,2,Male,['White'],31,4 year degree
Low Overperception,4,Democrat,3,-1,1,1,1,0,1,0,No,-1,No,-1,No,No,I did not vote,4-6 times a week,68,2-3 times a week,20,"['I want to make people laugh', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Twitch']","['Fox News', 'CNN', 'NY Times', 'Washington Post']",NA,3,Male,['White'],22,4 year degree
High Overperception,6,Republican,5,1,-2,1,1,0,2,NA,NA,-1,No,0,Yes,No,Republican Donald Trump,Daily or more,7,2-3 times a week,1,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram']","['Fox News', 'NY Times', 'Washington Post']",NA,2,female,['White'],37,Postgraduate/Professional degree/other
High Overperception,6,Republican,5,1,-2,1,1,0,1,-2,No,0,No,0,Yes,Yes,Republican Donald Trump,2-3 times a week,0,2-3 times a week,0,['I want to make people laugh'],"['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'NY Times', 'Washington Post']",NA,3,female,['White'],51,2 year degree
Low Overperception,4,Republican,6,3,-2,1,0,2,2,2,Yes,0,Uncertain / Do not remember,2,Yes,No,Republican Donald Trump,Daily or more,65,Daily or more,71,"[""I want to change people's opinions""]","['Twitter', 'Facebook']","['Fox News', 'CNN', 'MSN News']",NA,3,Male,['Black or African American'],35,Postgraduate/Professional degree/other
High Overperception,5,Republican,5,1,1,1,1,0,1,2,No,2,No,1,Yes,Yes,Democrat Joe Biden,Daily or more,9,Between once per week and once per month,2,"['I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Other']","['CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,2,Female,['White'],46,Some college
Low Overperception,2,Democrat,1,-3,3,1,1,0,1,2,No,3,No,2,Yes,Yes,Democrat Joe Biden,Daily or more,14,4-6 times a week,2,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Other']","['Fox News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,3,female,['White'],55,Postgraduate/Professional degree/other
Low Overperception,4,Republican,5,3,-3,1,1,0,1,-3,No,3,No,3,Yes,Yes,Republican Donald Trump,Daily or more,50,Once per week,5,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Facebook', 'Instagram', 'TikTok', 'YouTube', 'Parlor']","['Fox News', 'Five Thirty Eight', 'Yahoo! News', 'CNN', 'Washington Post', 'Huffington Post']",NA,4,Female,['White'],30,4 year degree
Low Overperception,3,Democrat,2,-3,3,1,1,0,1,-1,No,0,No,1,Yes,NA,Democrat Joe Biden,Daily or more,15,2-3 times a week,0,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN']",NA,1,Male,['White'],36,High school
High Overperception,5,Republican,7,2,-2,1,1,0,1,-1,No,-1,No,2,Yes,Yes,I did not vote,Daily or more,19,Once per week,9,['I want to make people laugh'],"['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['Drudge Report', 'Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post']",NA,3,Male,['White'],22,Some college
High Overperception,6,Republican,6,3,-3,1,0,0,1,-3,No,0,No,-2,Yes,Yes,Republican Donald Trump,4-6 times a week,50,2-3 times a week,77,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News']",NA,1,male,['White'],30,Postgraduate/Professional degree/other
