condition,network_outrage,political_party,political_ideology,rep_identity,dem_identity,barr_check,barrett_check,seen_quiz,unseen_quiz,barr_familiar,barr_post,barrett_familiar,barrett_post,follow_politics,vote_2016,vote_2018,vote_2020,sm_freq,sm_daily_freq,sm_political_freq,sm_daily_political_freq,sm_share_reason,sm_platforms,online_news_outlets,twitter_handle,mood,gender,ethnicity,age,education
High Overperception,6,Democrat,3,1,2,1,1,0,1,-2,No,2,No,-1,No,No,Democrat Joe Biden,Daily or more,5,4-6 times a week,0,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Twitch']","['Fox News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,female,['White'],21,Some college
High Overperception,6,Democrat,1,-3,3,1,1,0,1,2,Uncertain / Do not remember,2,No,2,No,No,I did not vote,Daily or more,2,2-3 times a week,0,['The content represents my beliefs or attitudes'],"['Twitter', 'Facebook', 'Instagram']","['CNN', 'MSN News', 'Washington Post', 'Huffington Post', 'Other']",NA,3,female,NA,55,4 year degree
High Overperception,4,Republican,5,NA,-1,0,1,0,1,-2,No,-2,No,-3,Yes,No,Republican Donald Trump,Between once per month and once per year,2,Never,0,['I want to make people laugh'],"['YouTube', 'Twitch', 'Other']",['None'],NA,4,male,['White'],33,2 year degree
Low Overperception,4,Republican,5,0,-1,1,1,0,1,1,No,1,No,2,Yes,Yes,Other,Daily or more,66,Daily or more,59,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Five Thirty Eight', 'NY Times', 'Washington Post']",NA,3,Female,"['Black or African American', 'White']",23,4 year degree
High Overperception,7,Democrat,3,-3,2,1,1,1,1,-3,No,-3,No,1,No,No,Democrat Joe Biden,Daily or more,96,Between once per week and once per month,19,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'CNN']",NA,3,female,['Asian'],20,Some college
High Overperception,7,Republican,4,2,0,0,1,0,1,-3,No,-3,No,-2,No,No,I did not vote,Once per week,0,Between once per month and once per year,5,['I want people to see the content'],"['Facebook', 'Instagram', 'TikTok', 'YouTube']","['Drudge Report', 'Fox News', 'CNN', 'NY Times', 'Washington Post']",NA,4,female,['White'],39,4 year degree
Low Overperception,4,Republican,6,2,-3,0,1,0,1,0,No,1,No,1,Yes,No,Republican Donald Trump,Daily or more,9,Daily or more,3,['The content represents my beliefs or attitudes'],"['Facebook', 'Instagram', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,24,['White'],24,High school
Low Overperception,5,Democrat,2,-1,2,1,1,0,1,-1,No,0,No,0,No,Yes,Democrat Joe Biden,Never,0,2-3 times a week,5,"['I want to make people laugh', 'The content represents my beliefs or attitudes']",['None'],"['CNN', 'NY Times', 'Huffington Post']",NA,3,Female,"['Asian', 'White']",31,High school
Low Overperception,7,Republican,5,0,-3,1,1,0,1,0,No,NA,No,2,No,No,Republican Donald Trump,Daily or more,2,Never,0,['I want to make people laugh'],"['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Other']","['Fox News', 'CNN', 'NY Times', 'Washington Post', 'Other']",NA,3,female,['White'],33,Some college
High Overperception,6,Democrat,1,-3,2,1,1,0,1,0,No,3,No,1,No,No,Democrat Joe Biden,Once per week,1,Once per week,1,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'YouTube', 'Other']","['CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,Female,['White'],20,High school
Low Overperception,2,Republican,5,2,-3,1,1,0,1,1,No,1,No,0,Yes,Yes,Republican Donald Trump,Daily or more,29,Daily or more,14,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Instagram', 'YouTube', 'Twitch', 'Gab', 'Parlor']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,3,Male,['White'],25,High school
High Overperception,6,Republican,6,2,-3,1,1,0,1,-1,No,2,Yes,2,Yes,Yes,Republican Donald Trump,2-3 times a week,0,2-3 times a week,0,"[""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Gab', 'Parlor']","['Drudge Report', 'Fox News', 'Five Thirty Eight', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times']",NA,4,male,['White'],28,4 year degree
High Overperception,6,Republican,7,3,-2,1,1,0,2,0,No,3,No,-1,No,No,Republican Donald Trump,Daily or more,13,Between once per week and once per month,1,['The content represents my beliefs or attitudes'],"['Twitter', 'Facebook', 'YouTube']","['Drudge Report', 'Other']",NA,1,Female,['White'],54,Some college
Low Overperception,2,Republican,5,-2,-2,1,1,0,1,-2,No,-2,No,-2,No,No,I did not vote,Daily or more,60,Once per week,0,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'Washington Post', 'Huffington Post']",@cbandsc,2,Male,"['Asian', 'Black or African American']",19,Some college
Low Overperception,6,Democrat,1,-3,3,1,1,0,1,3,No,3,No,3,Yes,Yes,Democrat Joe Biden,Never,4,Daily or more,67,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Instagram', 'YouTube']","['CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,male,['White'],34,Some high school
High Overperception,7,Democrat,4,-3,-2,1,1,0,1,2,No,2,No,0,Yes,No,Democrat Joe Biden,Between once per month and once per year,0,Never,0,['Other'],['Instagram'],"['CNN', 'MSN News', 'NY Times', 'Washington Post', 'Other']",NA,3,F,['White'],41,Some college
High Overperception,7,Republican,6,1,-3,1,1,0,1,2,No,3,No,3,Yes,Yes,Republican Donald Trump,Daily or more,24,Daily or more,14,['The content represents my beliefs or attitudes'],"['Twitter', 'Facebook', 'YouTube', 'Twitch']","['Fox News', 'Five Thirty Eight', 'Yahoo! News', 'NY Times']",@akccarson,3,Male,['White'],36,4 year degree
