"Date","Subject","Age","Sex","Hand","Block","Bin","Trial","Task","Shape","corrResp","Resp","ACC","RT","Morality","Identity"
"02-May-2018_14:39:04",7302,22,"female","R",1,4,9,"Id","moralSelf","H","h",1,0.5344,"Good","Self"
"02-May-2018_14:39:05",7302,22,"female","R",1,4,10,"Id","immoralOther","J","j",1,0.5065,"Bad","Other"
"02-May-2018_14:39:07",7302,22,"female","R",1,4,11,"Id","moralOther","J","j",1,0.6206,"Good","Other"
"02-May-2018_14:39:09",7302,22,"female","R",1,4,12,"Id","immoralSelf","H","h",1,0.5006,"Bad","Self"
"02-May-2018_14:39:10",7302,22,"female","R",1,4,13,"Id","immoralOther","J","j",1,0.4807,"Bad","Other"
"02-May-2018_14:39:12",7302,22,"female","R",1,4,14,"Id","moralOther","J","j",1,0.553,"Good","Other"
"02-May-2018_14:39:14",7302,22,"female","R",1,4,15,"Id","immoralOther","J","j",1,0.625,"Bad","Other"
"02-May-2018_14:39:16",7302,22,"female","R",1,4,16,"Id","moralOther","J","j",1,0.4511,"Good","Other"
"02-May-2018_14:39:17",7302,22,"female","R",1,4,17,"Id","moralOther","J","j",1,0.4152,"Good","Other"
"02-May-2018_14:39:19",7302,22,"female","R",1,4,18,"Id","immoralOther","J","j",1,0.5752,"Bad","Other"
"02-May-2018_14:39:21",7302,22,"female","R",1,4,19,"Id","moralSelf","H","h",1,0.6014,"Good","Self"
"02-May-2018_14:39:23",7302,22,"female","R",1,4,20,"Id","moralSelf","H","h",1,0.3695,"Good","Self"
"02-May-2018_14:39:24",7302,22,"female","R",1,4,21,"Id","immoralOther","J","j",1,0.4697,"Bad","Other"
"02-May-2018_14:39:26",7302,22,"female","R",1,4,22,"Id","immoralSelf","H","h",1,0.4776,"Bad","Self"
"02-May-2018_14:39:28",7302,22,"female","R",1,4,23,"Id","immoralSelf","H","h",1,0.5378,"Bad","Self"
"02-May-2018_14:39:29",7302,22,"female","R",1,4,24,"Id","moralSelf","H","h",1,0.5338,"Good","Self"
"02-May-2018_14:39:38",7302,22,"female","R",1,5,1,"Id","immoralOther","J","j",1,0.7863,"Bad","Other"
"02-May-2018_14:39:40",7302,22,"female","R",1,5,2,"Id","moralOther","J","j",1,0.4725,"Good","Other"
"02-May-2018_14:39:42",7302,22,"female","R",1,5,3,"Id","moralSelf","H","h",1,0.5505,"Good","Self"
"02-May-2018_14:39:44",7302,22,"female","R",1,5,4,"Id","immoralOther","J","j",1,0.4787,"Bad","Other"
"02-May-2018_14:39:45",7302,22,"female","R",1,5,5,"Id","moralSelf","H","h",1,0.4889,"Good","Self"
"02-May-2018_14:39:47",7302,22,"female","R",1,5,6,"Id","immoralOther","J","j",1,0.4748,"Bad","Other"
"02-May-2018_14:39:49",7302,22,"female","R",1,5,7,"Id","moralSelf","H","h",1,0.409,"Good","Self"
"02-May-2018_14:39:51",7302,22,"female","R",1,5,8,"Id","immoralSelf","H","h",1,0.5392,"Bad","Self"
"02-May-2018_14:39:52",7302,22,"female","R",1,5,9,"Id","moralOther","J","j",1,0.4352,"Good","Other"
"02-May-2018_14:39:54",7302,22,"female","R",1,5,10,"Id","moralSelf","H","h",1,0.3932,"Good","Self"
"02-May-2018_14:39:56",7302,22,"female","R",1,5,11,"Id","moralOther","J","j",1,0.4934,"Good","Other"
"02-May-2018_14:39:57",7302,22,"female","R",1,5,12,"Id","immoralSelf","H","h",1,0.4075,"Bad","Self"
