"Subj","Trial","Aes","Aes2","SelfR","Fam","Condition","Image","Question"
"s12",53,0.02,3,0.01,"0","SR","s12_sr16",19
"s12",5,0.54,32,0.86,"0","SR","s12_sr17",11
"s12",9,0.38,34,0.21,"0","SR","s12_sr18",10
"s12",57,0.25,18,0.56,"0","SR","s12_sr19",9
"s12",39,0.65,67,0.92,"0.5","SR","s12_sr20",5
"s13",51,0.39,47,0.42,"0.5","SR","s13_sr01",1
"s13",25,0.99,37,0.46,"0.5","SR","s13_sr02",2
"s13",62,0.63,47,0.34,"0","SR","s13_sr03",3
"s13",16,0.94,66,0.36,"0.5","SR","s13_sr04",3
"s13",41,0.89,55,0.65,"1","SR","s13_sr05",3
"s13",24,0.84,69,0.49,"1","SR","s13_sr06",3
"s13",47,0.66,60,0.65,"1","SR","s13_sr07",3
"s13",32,0.47,62,0.34,"0.5","SR","s13_sr08",4
"s13",12,0.98,85,0.82,"1","SR","s13_sr09",6
"s13",9,0.99,99,0.99,"1","SR","s13_sr10",5
"s13",45,0.67,50,0.65,"0","SR","s13_sr11",7
"s13",63,0.36,36,0.73,"1","SR","s13_sr12",11
"s13",10,0.46,27,0.59,"1","SR","s13_sr13",12
"s13",31,0.67,70,0.67,"0.5","SR","s13_sr14",15
"s13",27,0.72,93,0.99,"1","SR","s13_sr15",16
"s13",52,0.55,56,0.62,"1","SR","s13_sr16",18
"s13",38,0.44,32,0.11,"0","SR","s13_sr17",18
"s13",7,0.79,85,0.44,"1","SR","s13_sr18",19
"s13",56,0.98,97,0.99,"1","SR","s13_sr19",19
"s13",68,0.28,26,0.26,"0","SR","s13_sr20",16
"s15",69,0.46,59,0.59,"0","SR","s15_sr01",1
"s15",76,0.23,2,0.68,"0","SR","s15_sr02",2
"s15",1,0.45,26,0.79,"0.5","SR","s15_sr03",3
"s15",70,0.13,9,0.02,"0.5","SR","s15_sr04",3
"s15",47,0.42,27,0.53,"0","SR","s15_sr05",3
"s15",12,0.08,6,0.77,"1","SR","s15_sr06",3
"s15",53,0.14,3,0.01,"0","SR","s15_sr07",4
