"Temperature_t1","Temperature_t2","socialdiversity","Site","DEQ","ALEX1","ALEX2","ALEX3","ALEX4","ALEX5","ALEX6","ALEX7","ALEX8","ALEX9","ALEX10","ALEX11","ALEX12","ALEX13","ALEX14","ALEX15","ALEX16","langfamily"
35.6,35.9,5,"Oxford",51.75,2,3,1,2,3,3,3,2,4,3,1,2,4,1,3,2,1
36.1,36.1,9,"Bamberg",51,1,1,1,2,2,1,2,1,2,1,2,3,3,3,3,3,1
36.4,36,10,"Poland",52.59309387,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,1
35.5,37,3,"Oxford",51.75,1,2,2,2,4,2,3,2,3,2,4,3,5,3,3,4,1
36.3,36.3,9,"Poland",52.25,2,3,2,3,3,2,3,2,3,2,3,2,1,1,4,1,1
35.9,36.8,7,"METU",NA,1,1,1,1,1,2,1,2,2,1,2,2,2,4,4,4,2
36.4,36.6,12,"Kassel",51.28779602,3,4,3,3,4,4,4,4,2,3,4,2,2,2,3,2,1
36.6,36.5,8,"Bamberg",53.55000305,2,3,2,4,2,3,2,4,2,2,1,2,4,2,1,2,1
36.5,36.8,8,"Poland",52.25,2,3,1,3,2,2,3,2,2,2,3,4,2,1,3,2,1
36.6,36.8,8,"Poland",52.25,2,1,1,1,1,3,3,1,3,1,2,4,1,1,3,2,1
35.1,35.1,9,"Bamberg",50.53329468,2,4,5,4,2,2,4,5,4,2,2,2,2,2,4,2,1
36.5,36.3,9,"Poland",52.25,2,2,2,2,2,2,4,2,3,2,2,2,2,2,2,2,1
36.3,36.5,11,"Poland",52.41670227,1,2,2,1,2,3,2,1,2,1,2,3,2,1,2,1,1
36.9,36.9,7,"Serbia",44.81860352,2,2,1,2,2,1,2,2,2,1,2,4,2,2,3,2,1
36.1,35.8,8,"Portugal",38.80099487,2,5,1,1,2,2,2,2,2,2,1,3,1,2,3,3,1
35.9,36.1,9,"Serbia",44.81860352,3,3,1,3,4,4,4,2,4,3,2,3,1,1,2,1,1
36.1,36.3,8,"Chile",33.44999695,1,2,1,2,5,1,1,2,2,1,1,2,2,1,1,1,1
