Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
02-May-2018_14:39:56 7302 22 female R 1 5 11 self moralOther J j 1 0.4934 
02-May-2018_14:39:57 7302 22 female R 1 5 12 self immoralSelf H h 1 0.4075 
02-May-2018_14:39:59 7302 22 female R 1 5 13 self immoralOther J j 1 0.4715 
02-May-2018_14:40:00 7302 22 female R 1 5 14 self moralSelf H h 1 0.4517 
02-May-2018_14:40:02 7302 22 female R 1 5 15 self moralOther J j 1 0.4656 
02-May-2018_14:40:04 7302 22 female R 1 5 16 self immoralSelf H h 1 0.4178 
02-May-2018_14:40:05 7302 22 female R 1 5 17 self immoralOther J j 1 0.4519 
02-May-2018_14:40:07 7302 22 female R 1 5 18 self immoralSelf H h 1 0.4261 
02-May-2018_14:40:09 7302 22 female R 1 5 19 self moralOther J j 1 0.4941 
02-May-2018_14:40:10 7302 22 female R 1 5 20 self immoralSelf H h 1 0.4662 
02-May-2018_14:40:12 7302 22 female R 1 5 21 self immoralSelf H h 1 0.4422 
02-May-2018_14:40:14 7302 22 female R 1 5 22 self moralSelf H h 1 0.5004 
02-May-2018_14:40:15 7302 22 female R 1 5 23 self immoralOther J j 1 0.3666 
02-May-2018_14:40:17 7302 22 female R 1 5 24 self moralOther J j 1 0.5646 
Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
02-May-2018_14:42:41 7302 22 female R 2 1 1 moral immoralOther Y NA -1 1.0420 
02-May-2018_14:42:44 7302 22 female R 2 1 2 moral immoralOther Y y 1 0.9028 
02-May-2018_14:42:46 7302 22 female R 2 1 3 moral moralSelf U NA -1 1.0420 
02-May-2018_14:42:47 7302 22 female R 2 1 4 moral immoralSelf Y y 1 0.6451 
02-May-2018_14:42:49 7302 22 female R 2 1 5 moral moralOther U u 1 0.7132 
02-May-2018_14:42:51 7302 22 female R 2 1 6 moral moralSelf U u 1 0.7113 
02-May-2018_14:42:53 7302 22 female R 2 1 7 moral immoralSelf Y y 1 0.5834 
02-May-2018_14:42:55 7302 22 female R 2 1 8 moral moralOther U u 1 0.9535 
02-May-2018_14:42:56 7302 22 female R 2 1 9 moral moralSelf U u 1 0.5477 
02-May-2018_14:42:58 7302 22 female R 2 1 10 moral immoralOther Y y 1 0.5997 
02-May-2018_14:43:00 7302 22 female R 2 1 11 moral moralOther U u 1 0.5599 
02-May-2018_14:43:01 7302 22 female R 2 1 12 moral immoralOther Y y 1 0.6099 
02-May-2018_14:43:03 7302 22 female R 2 1 13 moral moralOther U u 1 0.5820 
02-May-2018_14:43:05 7302 22 female R 2 1 14 moral immoralOther Y y 1 0.6081 
02-May-2018_14:43:07 7302 22 female R 2 1 15 moral moralSelf U u 1 0.7001 
02-May-2018_14:43:09 7302 22 female R 2 1 16 moral immoralOther Y y 1 0.5102 
02-May-2018_14:43:10 7302 22 female R 2 1 17 moral moralOther U u 1 0.4804 
02-May-2018_14:43:12 7302 22 female R 2 1 18 moral immoralSelf Y y 1 0.4126 
02-May-2018_14:43:14 7302 22 female R 2 1 19 moral moralOther U u 1 0.6327 
02-May-2018_14:43:16 7302 22 female R 2 1 20 moral immoralSelf Y y 1 0.6707 
02-May-2018_14:43:17 7302 22 female R 2 1 21 moral immoralSelf Y y 1 0.4908 
02-May-2018_14:43:19 7302 22 female R 2 1 22 moral moralSelf U u 1 0.6928 
02-May-2018_14:43:20 7302 22 female R 2 1 23 moral moralSelf U u 1 0.3930 
02-May-2018_14:43:22 7302 22 female R 2 1 24 moral immoralSelf Y y 1 0.7211 
02-May-2018_14:43:24 7302 22 female R 2 2 1 moral moralSelf U u 1 0.7611 
