"Subject","ACC_Bad_Other","ACC_Bad_Self","ACC_Good_Other","ACC_Good_Self","good_bad_slf","good_bad_oth","slf_oth_good","slf_oth_bad","RT_Bad_Other","RT_Bad_Self","RT_Good_Other","RT_Good_Self"
7333,0.961111111111111,0.95,0.911111111111111,0.955555555555556,0.00555555555555565,-0.00555555555555554,0.0444444444444445,-0.0111111111111112,0.489729479768786,0.483319298245614,0.501973170731707,0.484131395348837
7334,0.861111111111111,0.805555555555556,0.833333333333333,0.894444444444444,0.0888888888888889,0.0333333333333333,0.0611111111111111,-0.0555555555555556,0.600630967741935,0.526235172413793,0.529886,0.54897950310559
7335,0.977777777777778,0.944444444444444,0.877777777777778,0.944444444444444,0,-0.0333333333333333,0.0666666666666667,-0.0333333333333333,0.530232386363636,0.519709411764706,0.562000632911392,0.523538235294118
7336,0.910112359550562,0.898876404494382,0.866666666666667,0.921348314606742,0.0224719101123596,0.0112359550561798,0.0546816479400749,-0.0112359550561798,0.437018518518519,0.4036425,0.438002564102564,0.386884146341463
7337,0.955555555555556,0.955307262569832,0.816666666666667,0.977777777777778,0.0224705152079453,0.0222222222222221,0.161111111111111,-0.000248292985723153,0.495592441860465,0.521821637426901,0.532639455782313,0.447009090909091
7339,0.966666666666667,0.994444444444444,0.983333333333333,0.966666666666667,-0.0277777777777778,0,-0.0166666666666666,0.0277777777777778,0.491344252873563,0.44795251396648,0.472125988700565,0.469928735632184
7340,0.977777777777778,0.5,0.5,0.977777777777778,0.477777777777778,0,0.477777777777778,-0.477777777777778,0.45990625,0.457973333333333,0.491485555555556,0.435988636363636
7341,0.871508379888268,0.933333333333333,0.922222222222222,0.949438202247191,0.0161048689138577,0.0779298223589229,0.0272159800249687,0.0618249534450652,0.468758974358974,0.4644875,0.441567469879518,0.426715384615385
7342,0.9,0.927777777777778,0.905555555555556,0.916666666666667,-0.0111111111111112,0.0166666666666666,0.0111111111111111,0.0277777777777778,0.521513580246914,0.461989221556886,0.462273619631902,0.498355151515152
7343,0.966666666666667,0.905555555555556,0.9,0.955555555555556,0.05,-0.0111111111111111,0.0555555555555556,-0.0611111111111111,0.551924712643678,0.504126380368098,0.569393209876543,0.510209302325581
7344,0.916666666666667,0.894444444444444,0.766666666666667,0.95,0.0555555555555555,0.0333333333333333,0.183333333333333,-0.0222222222222221,0.404218787878788,0.425445341614907,0.433252173913043,0.370701754385965
7345,0.916666666666667,0.861111111111111,0.827777777777778,0.977653631284916,0.116542520173805,0.0609869646182496,0.149875853507139,-0.0555555555555555,0.447158787878788,0.452731612903226,0.432359731543624,0.396453142857143
73370,0.877777777777778,0.844444444444444,0.861111111111111,0.877777777777778,0.0333333333333333,0,0.0166666666666666,-0.0333333333333333,0.558084810126582,0.563338815789474,0.552958064516129,0.505931012658228
