"Subject","Age","Sex","Morality","Identity","dprime"
7317,24,"female","Bad","Other",2.55443292500528
7317,24,"female","Bad","Self",0.883015608921915
7317,24,"female","Good","Other",0.304729145562389
7317,24,"female","Good","Self",1.49802452404792
7318,25,"female","Bad","Other",2.15703117495112
7318,25,"female","Bad","Self",1.46215668232426
7318,25,"female","Good","Other",1.90568022456897
7318,25,"female","Good","Self",2.22154323327357
7319,19,"male","Bad","Other",2.16212563744019
7319,19,"male","Bad","Self",1.93639612663413
7319,19,"male","Good","Other",2.74514395446192
7319,19,"male","Good","Self",3.68289816305043
7320,19,"male","Bad","Other",2.22582406594932
7320,19,"male","Bad","Self",1.68324246714583
7320,19,"male","Good","Other",1.33885478644687
7320,19,"male","Good","Self",2.02680696670737
7321,18,"female","Bad","Other",2.54559467918436
7321,18,"female","Bad","Self",1.16005319618054
7321,18,"female","Good","Other",2.60781627786206
7321,18,"female","Good","Self",2.16944467527584
7322,18,"male","Bad","Other",0.27557526354463
7322,18,"male","Bad","Self",1.4997789717236
7322,18,"male","Good","Other",1.99432124051207
7322,18,"male","Good","Self",1.16935803160821
7323,20,"male","Bad","Other",3.96704885047657
7323,20,"male","Bad","Self",2.016608025639
7323,20,"male","Good","Other",2.24669279388255
7323,20,"male","Good","Self",2.50055552499282
7324,19,"female","Bad","Other",1.4730883945416
7324,19,"female","Bad","Self",1.50121117077227
7324,19,"female","Good","Other",1.37279517695074
7324,19,"female","Good","Self",1.78936649114194
7325,21,"male","Bad","Other",2.34614609066261
7325,21,"male","Bad","Self",2.04529515709298
7325,21,"male","Good","Other",2.0393603947036
7325,21,"male","Good","Self",2.11606132241907
7326,20,"male","Bad","Other",2.16944467527584
7326,20,"male","Bad","Self",1.89245850745614
7326,20,"male","Good","Other",2.37361179446226
7326,20,"male","Good","Self",1.78820320298179
7327,19,"female","Bad","Other",3.21082066243415
7327,19,"female","Bad","Self",2.93386279851958
7327,19,"female","Good","Other",2.58005835237572
7327,19,"female","Good","Self",2.50055552499282
7328,20,"male","Bad","Other",1.59149068731357
7328,20,"male","Bad","Self",2.3552234034082
7328,20,"male","Good","Other",1.53344558531728
7328,20,"male","Good","Self",3.26720005310763
7329,27,"male","Bad","Other",1.9523928502097
7329,27,"male","Bad","Self",0.682353044664463
7329,27,"male","Good","Other",1.05837247519518
7329,27,"male","Good","Self",2.02799728351972
7331,19,"male","Bad","Other",1.65849482630411
7331,19,"male","Bad","Self",1.05054030638572
7331,19,"male","Good","Other",2.06910850340399
7331,19,"male","Good","Self",3.79524405308676
7332,20,"female","Bad","Other",1.63367878115444
7332,20,"female","Bad","Self",1.59451005418205
7332,20,"female","Good","Other",1.16465896555474
7332,20,"female","Good","Self",2.29528906065464
7333,24,"female","Bad","Other",2.29528906065464
7333,24,"female","Bad","Self",2.24669279388255
7333,24,"female","Good","Other",1.89245850745614
7333,24,"female","Good","Self",2.23890966998117
7334,25,"female","Bad","Other",1.41783433114227
7334,25,"female","Bad","Self",1.73186812084329
7334,25,"female","Good","Other",2.68208154553891
7334,25,"female","Good","Self",1.89542147814485
7335,20,"female","Bad","Other",2.00101850390717
7335,20,"female","Bad","Self",0.815006158591133
7335,20,"female","Good","Other",1.18368353966573
7335,20,"female","Good","Self",1.84574588181541
7336,19,"female","Bad","Other",2.442160476397
7336,19,"female","Bad","Self",2.19998016824182
7336,19,"female","Good","Other",1.6365298415051
7336,19,"female","Good","Self",2.39952944351939
7337,22,"male","Bad","Other",2.99513785802358
7337,22,"male","Bad","Self",2.31496228707703
7337,22,"male","Good","Other",2.08607302034433
7337,22,"male","Good","Self",1.78049377454076
7338,20,"female","Bad","Other",2.74553773281544
7338,20,"female","Bad","Self",2.21075129113766
7338,20,"female","Good","Other",3.71744872526842
7338,20,"female","Good","Self",2.16160889052001
7339,18,"male","Bad","Other",2.8015233451354
7339,18,"male","Bad","Self",2.4194385788375
7339,18,"male","Good","Other",2.22154323327357
7339,18,"male","Good","Self",2.92567286331826
7340,21,"female","Bad","Other",1.39556797578423
7340,21,"female","Bad","Self",1.37033950593444
7340,21,"female","Good","Other",1.71487421697758
7340,21,"female","Good","Self",2.83928850243449
7341,24,"male","Bad","Other",2.29531844758001
7341,24,"male","Bad","Self",1.90848872986577
7341,24,"male","Good","Other",2.39133283331441
7341,24,"male","Good","Self",3.00217189208805
7342,18,"female","Bad","Other",1.4847473106518
7342,18,"female","Bad","Self",0.793338601077491
7342,18,"female","Good","Other",2.40826700258449
7342,18,"female","Good","Self",1.26981593971079
7343,20,"female","Bad","Other",1.65444439693561
7343,20,"female","Bad","Self",1.71487421697758
7343,20,"female","Good","Other",1.13702986213555
7343,20,"female","Good","Self",1.55604077580641
7344,20,"female","Bad","Other",1.55615836239708
7344,20,"female","Bad","Self",2.93386279851958
7344,20,"female","Good","Other",2.34614609066261
7344,20,"female","Good","Self",3.05798401279731
7345,19,"male","Bad","Other",2.56495619063869
7345,19,"male","Bad","Self",1.8673775099815
7345,19,"male","Good","Other",1.53246929933505
7345,19,"male","Good","Self",2.19619990192352
73370,18,"female","Bad","Other",1.74977287528526
73370,18,"female","Bad","Self",2.00101850390717
73370,18,"female","Good","Other",0.140988428965023
73370,18,"female","Good","Self",3.71919143599089
