Images,Z_pleasure
city_00349.jpg,-0.180941241
city_00387.jpg,-0.006220576
city_00399.jpg,-0.440158917
city_00406.jpg,-0.055560232
city_00410.jpg,-0.304618301
city_00417.jpg,-0.068009468
city_00424.jpg,0.039024302
city_00430.jpg,-0.559910761
city_00444.jpg,0.493299829
city_00452.jpg,0.023743517
city_00473.jpg,-0.277281126
city_00496.jpg,-0.10247379
city_00509.jpg,-0.511033461
city_00514.jpg,0.380769424
city_00525.jpg,0.255536608
city_00532.jpg,0.498236492
city_00536.jpg,-1.13090013
city_00543.jpg,-0.934573437
city_00599.jpg,0.004241496
city_00601.jpg,-0.225617243
city_00604.jpg,0.171192163
city_00606.jpg,-0.55506775
city_00613.jpg,-0.351707864
city_00614.jpg,-0.404640075
city_00619.jpg,-0.799884385
city_00621.jpg,0.390684345
city_00625.jpg,-0.172538185
city_00626.jpg,0.030975659
city_00629.jpg,-0.204622446
city_00646.jpg,-0.620190486
city_00660.jpg,0.283498493
city_00663.jpg,0.940653782
city_00670.jpg,0.011229008
city_00680.jpg,-0.196999414
city_20081106_00003.jpg,-0.232481115
city_20081106_00008.jpg,-0.284224001
city_20081106_00017.jpg,0.009428978
city_20081106_00028.jpg,0.390478376
city_20081106_00032.jpg,-0.893093134
city_20081106_00061.jpg,-0.256573725
city_20081106_00063.jpg,0.142609433
city_20081106_00066.jpg,-0.429228639
city_20081106_00099.jpg,-0.578202365
forests_00111.jpg,0.34890792
forests_00114.jpg,0.437140963
forests_00119.jpg,0.509918349
forests_00121.jpg,-0.014671012
forests_00125.jpg,-0.154326978
forests_00126.jpg,-0.037115512
forests_00136.jpg,0.607966795
forests_00147.jpg,0.342565864
forests_00150.jpg,0.232976339
forests_00155.jpg,0.434305378
forests_00170.jpg,0.416431036
forests_00189.jpg,0.388318264
forests_00194.jpg,0.692973519
forests_00195.jpg,-0.093500649
forests_00197.jpg,0.638804187
forests_00217.jpg,0.094382374
forests_00241.jpg,0.508098655
forests_00242.jpg,0.303256875
forests_00247.jpg,-0.249444327
forests_00253.jpg,0.193514732
forests_00265.jpg,0.191621701
forests_00266.jpg,0.446141797
forests_00267.jpg,0.589600491
forests_00274.jpg,0.703353284
forests_00277.jpg,0.242711813
forests_00288.jpg,0.63694196
forests_00294.jpg,0.627483579
forests_00298.jpg,0.39279265
forests_00299.jpg,0.341221365
forests_00306.jpg,0.585292646
forests_00310.jpg,0.910083149
forests_00312.jpg,0.214025521
forests_00334.jpg,0.411428195
forests_00349.jpg,-0.079305929
forests_00355.jpg,-0.270667074
forests_00359.jpg,0.730598544
forests_00373.jpg,0.160224681
forests_00380.jpg,0.19497823
forests_00391.jpg,0.185188645
forests_00393.jpg,-0.059735626
forests_00397.jpg,0.467283476
forests_00583.jpg,0.126303199
forests_00587.jpg,0.552614059
forests_00591.jpg,0.419872382
forests_00599.jpg,0.75145531
forests_00612.jpg,0.043166868
forests_00628.jpg,0.545952332
forests_00629.jpg,0.625648875
forests_00642.jpg,0.410192687
forests_00653.jpg,0.070518944
forests_00654.jpg,0.467207008
forests_00689.jpg,0.681688697
forests_00698.jpg,0.042652222
forests_00719.jpg,0.606328242
forests_00746.jpg,0.978904949
forests_20081106_00001.jpg,0.302823267
forests_20081106_00005.jpg,-0.148644706
forests_20081106_00009.jpg,0.209679604
forests_20081106_00010.jpg,0.286264644
forests_20081106_00011.jpg,0.285452395
forests_20081106_00012.jpg,0.729745257
forests_20081106_00013.jpg,0.3318541
forests_20081106_00014.jpg,0.373058298
forests_20081106_00015.jpg,0.846014464
forests_20081106_00016.jpg,0.049459227
forests_20081106_00018.jpg,0.219956349
forests_20081106_00019.jpg,-0.151914555
forests_20081106_00020.jpg,0.517398879
forests_20081106_00023.jpg,0.457951317
forests_20081106_00026.jpg,0.172851052
forests_20081106_00028.jpg,0.016569842
forests_20081106_00032.jpg,0.237825637
forests_20081106_00033.jpg,0.647616582
forests_20081106_00051.jpg,0.46279941
forests_20081106_00052.jpg,0.01388056
forests_20081106_00063.jpg,0.510008514
forests_20081106_00085.jpg,0.331227361
forests_20081106_00088.jpg,0.976706585
forests_20081106_00090.jpg,0.351896523
forests_20081106_00100.jpg,0.656183793
highways_00146.jpg,-0.553831686
highways_00155.jpg,-0.741207438
highways_00161.jpg,-0.409738324
highways_00176.jpg,-0.345527436
highways_00184.jpg,-0.856250031
highways_00187.jpg,-0.053428688
highways_00199.jpg,-0.735824069
highways_00205.jpg,-0.816164629
highways_00206.jpg,-0.464374287
highways_00208.jpg,-0.862270219
highways_00220.jpg,-0.656076906
highways_00222.jpg,-0.35478346
highways_00254.jpg,-0.626062699
highways_00268.jpg,-0.546923716
highways_00280.jpg,-0.252715606
highways_00300.jpg,-0.686081689
highways_00302.jpg,-0.719655612
highways_00305.jpg,-0.73170666
highways_00318.jpg,-0.919093836
highways_00322.jpg,-0.690791347
highways_00323.jpg,-0.698119916
highways_00324.jpg,-0.773732789
highways_00328.jpg,-0.876918898
highways_00329.jpg,-1.014375124
highways_00331.jpg,-0.785604691
highways_00351.jpg,-0.602771485
highways_00353.jpg,-0.541101824
highways_00357.jpg,-0.933459617
highways_00358.jpg,-0.92386492
highways_00370.jpg,-0.818348519
highways_00371.jpg,-0.584861519
highways_00373.jpg,-0.654635411
highways_00375.jpg,-0.945855708
highways_00377.jpg,-0.943057964
highways_00379.jpg,-1.003458535
highways_00390.jpg,-0.437672672
highways_00394.jpg,-1.131447869
highways_00402.jpg,-0.522724895
highways_00408.jpg,-0.900223912
highways_00409.jpg,-0.742482729
highways_00410.jpg,-0.734408155
highways_00411.jpg,-0.644260132
highways_00413.jpg,-0.754717005
highways_00414.jpg,-0.869181813
highways_00415.jpg,-0.866861202
highways_00416.jpg,-0.798605852
highways_00422.jpg,-0.967266918
highways_00425.jpg,-0.798405115
highways_00428.jpg,-0.58825935
highways_00429.jpg,-0.879978832
highways_00430.jpg,-0.933021857
highways_00433.jpg,-0.736082972
highways_00438.jpg,0.36025946
highways_00440.jpg,-0.683258367
highways_00463.jpg,-0.586159845
highways_00468.jpg,-0.588417748
highways_00478.jpg,-0.709430565
highways_00482.jpg,-0.217253623
highways_00493.jpg,-0.783459159
highways_00501.jpg,-0.362924822
highways_00516.jpg,-0.321545662
highways_00530.jpg,-0.269441843
highways_00541.jpg,-0.502331451
highways_00549.jpg,0.034795632
highways_00554.jpg,-0.166176702
highways_00555.jpg,-0.665696976
highways_00577.jpg,-0.213973684
highways_00585.jpg,-0.84247955
highways_00600.jpg,-0.704804152
highways_00616.jpg,0.185068862
highways_20081106_00024.jpg,-0.554476108
highways_20081106_00047.jpg,-0.069735904
highways_20081106_00063.jpg,-0.786665016
highways_20081106_00088.jpg,-0.829317494
highways_20081106_00091.jpg,-0.492995317
highways_20081106_00093.jpg,-0.708560606
highways_20081106_00094.jpg,-0.633297041
highways_20081106_00096.jpg,-0.250101506
highways_20081106_00098.jpg,-0.668161672
highways_20081106_00100.jpg,-0.211003392
mountains_00104.jpg,0.790146158
mountains_00105.jpg,0.395892487
mountains_00106.jpg,1.162338539
mountains_00107.jpg,0.91083239
mountains_00108.jpg,0.408681089
mountains_00125.jpg,0.554042841
mountains_00163.jpg,1.200282846
mountains_00168.jpg,0.664614699
mountains_00178.jpg,0.400324764
mountains_00195.jpg,0.728363756
mountains_00198.jpg,0.819011764
mountains_00215.jpg,0.939586769
mountains_00216.jpg,0.229388654
mountains_00220.jpg,0.828688016
mountains_00223.jpg,0.578149643
mountains_00228.jpg,0.659975545
mountains_00230.jpg,0.300040627
mountains_00238.jpg,0.030292648
mountains_00256.jpg,0.749085307
mountains_00257.jpg,0.850218205
mountains_00262.jpg,0.456941451
mountains_00265.jpg,0.677498976
mountains_00270.jpg,0.865602274
mountains_00282.jpg,0.329652472
mountains_00285.jpg,0.309445562
mountains_00287.jpg,0.425751967
mountains_00301.jpg,0.903526017
mountains_00305.jpg,0.643312406
mountains_00306.jpg,0.931539172
mountains_00307.jpg,0.811762735
mountains_00318.jpg,0.295905011
mountains_00323.jpg,0.804234268
mountains_00324.jpg,1.021795006
mountains_00327.jpg,0.509549777
mountains_00334.jpg,0.602549401
mountains_00339.jpg,0.614438546
mountains_00342.jpg,1.09169868
mountains_00345.jpg,0.87647756
mountains_00351.jpg,0.602421079
mountains_00355.jpg,0.62796357
mountains_00360.jpg,0.602441651
mountains_00363.jpg,0.465636557
mountains_00396.jpg,0.638375291
mountains_00405.jpg,0.866842683
mountains_00412.jpg,0.921417198
mountains_00439.jpg,0.977120014
mountains_00499.jpg,0.686265081
mountains_00555.jpg,0.872698802
mountains_00559.jpg,1.186974407
mountains_00577.jpg,1.252537986
mountains_00588.jpg,0.945304768
mountains_00591.jpg,0.875615486
mountains_00614.jpg,0.911527962
mountains_00656.jpg,0.691727415
mountains_00658.jpg,0.638125935
mountains_00668.jpg,1.026041427
mountains_00685.jpg,0.69839149
mountains_00687.jpg,0.610613393
mountains_00698.jpg,0.261471756
mountains_00703.jpg,0.648888566
mountains_00709.jpg,0.333058689
mountains_00718.jpg,0.766799178
mountains_00735.jpg,0.937347122
mountains_00742.jpg,0.837666451
mountains_00752.jpg,0.505293549
mountains_20081106_00017.jpg,0.803111738
mountains_20081106_00023.jpg,0.579799626
mountains_20081106_00030.jpg,0.673260965
mountains_20081106_00036.jpg,1.151296234
mountains_20081106_00049.jpg,0.555082881
mountains_20081106_00063.jpg,0.626039079
mountains_20081106_00069.jpg,0.507967729
mountains_20081106_00070.jpg,0.980855385
mountains_20081106_00075.jpg,1.338479617
mountains_20081106_00094.jpg,0.461011455
mountains_20081106_00096.jpg,0.663391799
offices_00114.jpg,-0.964998263
offices_00117.jpg,-0.151906328
offices_00120.jpg,-0.554982715
offices_00122.jpg,-0.846812407
offices_00124.jpg,-0.269048915
offices_00126.jpg,-1.178851863
offices_00141.jpg,-0.918390887
offices_00149.jpg,-0.94087646
offices_00166.jpg,-0.418148824
offices_00172.jpg,-1.221292148
offices_00184.jpg,-0.617659749
offices_00243.jpg,-0.900235754
offices_00254.jpg,-0.920430292
offices_00280.jpg,-0.669050255
offices_00281.jpg,-0.880923787
offices_00282.jpg,-0.094827857
offices_00291.jpg,-0.651336565
offices_00304.jpg,-1.13907501
offices_00307.jpg,-1.249334616
offices_00379.jpg,-1.149037195
offices_00395.jpg,-0.746898316
offices_00404.jpg,-0.553218601
offices_00455.jpg,-0.844499658
offices_00473.jpg,-0.761529661
offices_00484.jpg,-0.784818204
offices_00508.jpg,-0.634590828
offices_00581.jpg,-0.189755924
offices_00591.jpg,-0.492643892
offices_00599.jpg,-0.652612845
offices_00600.jpg,-0.930913271
offices_00602.jpg,-0.975653671
offices_00604.jpg,-0.509886006
offices_00607.jpg,-1.297234996
offices_00612.jpg,-1.126450265
offices_00613.jpg,-0.859719942
offices_00618.jpg,-0.901696152
offices_00621.jpg,-1.033223441
offices_00622.jpg,-1.322318769
offices_00625.jpg,-0.637545617
offices_00626.jpg,-0.016188156
offices_00627.jpg,-0.389618027
offices_00628.jpg,-1.128636451
offices_00629.jpg,-1.08606396
offices_00631.jpg,-1.174821235
offices_00634.jpg,-0.87566913
offices_00639.jpg,-1.139240144
offices_00643.jpg,-1.193549085
offices_00644.jpg,-0.877009356
offices_00646.jpg,-0.519218361
offices_00656.jpg,-0.9223324
offices_00657.jpg,-1.199263126
offices_00658.jpg,-0.94157698
offices_00659.jpg,-1.061340562
offices_00660.jpg,-1.182675844
offices_00661.jpg,-0.898490325
offices_00664.jpg,-1.294818608
offices_00667.jpg,-0.729210353
offices_00671.jpg,-1.344780464
offices_00675.jpg,-0.916336629
offices_00676.jpg,-1.087040819
offices_00677.jpg,-1.119678222
offices_00678.jpg,-1.201429573
offices_20081106_00003.jpg,-0.934279622
offices_20081106_00011.jpg,-0.277477075
offices_20081106_00024.jpg,-0.806992373
