Participant,Months,Gender,Order,Task,Outcome,Looking,TaskOrder,Habituated
P28,11.23013446,m,2,Inaccessible,Unexpected,8.964404361,3,0
P28,11.23013446,m,1,Inaccessible,Expected,5.4353693,3,0
P29,11.09862906,f,2,Multiagent,Unexpected,14.43650078,1,0
P29,11.09862906,f,1,Multiagent,Expected,12.69166174,1,0
P29,11.46026893,f,2,Inaccessible,Unexpected,8.221824922,6,0
P29,11.46026893,f,1,Inaccessible,Expected,7.88622225,6,0
P30,11.09862906,f,2,Efficient,Unexpected,10.52677126,2,0
P30,11.09862906,f,1,Efficient,Expected,8.514425683,2,0
P30,11.13150541,f,2,Inefficient,Unexpected,9.753188267,3,0
P30,11.13150541,f,1,Inefficient,Expected,7.439748493,3,0
P30,11.46026893,f,2,Instrumental,Unexpected,11.8155415,6,0
P30,11.46026893,f,1,Instrumental,Expected,25.23051175,6,0
P31,11.23013446,f,2,Inefficient,Unexpected,9.414483498,1,0
P31,11.23013446,f,1,Inefficient,Expected,9.124629229,1,0
P31,11.29588717,f,2,Instrumental,Unexpected,5.890444702,2,0
P31,11.29588717,f,1,Instrumental,Expected,6.151997541,2,0
P31,11.39451622,f,2,Efficient,Unexpected,6.814964305,4,0
P31,11.39451622,f,1,Efficient,Expected,11.030063,4,0
P32,11.23013446,m,2,Multiagent,Unexpected,8.555662062,2,0
P32,11.23013446,m,1,Multiagent,Expected,13.32920443,2,0
P32,11.32876352,m,2,Inaccessible,Unexpected,2.424582806,5,1
P32,11.32876352,m,1,Inaccessible,Expected,2.713087806,5,1
P03b,10.59177434,f,2,GoalDirected,Unexpected,9.494270778,1,0
P03b,10.59177434,f,1,GoalDirected,Expected,10.31584389,1,0
P07b,11.26301082,m,2,Instrumental,Unexpected,2.008944884,5,1
P07b,11.26301082,m,1,Instrumental,Expected,2.306408664,5,1
P10b,11,m,2,Instrumental,Unexpected,4.245760527,2,1
P10b,11,m,1,Instrumental,Expected,5.472115079,2,1
P10b,11.16438176,m,2,Efficient,Unexpected,11.05013176,3,0
P10b,11.16438176,m,1,Efficient,Expected,16.84219774,3,0
P10b,11.19725811,m,2,Multiagent,Unexpected,10.97794956,4,0
P10b,11.19725811,m,1,Multiagent,Expected,34.40949457,4,0
P10b,11.23013446,m,2,Inefficient,Unexpected,18.61042874,5,0
P10b,11.23013446,m,1,Inefficient,Expected,9.183194437,5,0
P13b,11.13150541,m,2,Inefficient,Unexpected,8.60507023,5,0
P13b,11.13150541,m,1,Inefficient,Expected,13.88468482,5,0
P13b,11.26301082,m,2,Multiagent,Unexpected,15.41972222,6,0
P13b,11.26301082,m,1,Multiagent,Expected,7.869590873,6,0
P07c,10.8219088,m,2,Efficient,Unexpected,15.77312705,4,0
P07c,10.8219088,m,1,Efficient,Expected,6.761134534,4,0
P07c,10.85478515,m,2,Instrumental,Unexpected,17.25239199,5,0
P07c,10.85478515,m,1,Instrumental,Expected,6.213051853,5,0
P07c,10.88766151,m,2,Inefficient,Unexpected,6.750955638,6,0
P07c,10.88766151,m,1,Inefficient,Expected,4.089089014,6,0
P16b,11.19725811,f,2,Multiagent,Unexpected,7.284454091,3,0
P16b,11.19725811,f,1,Multiagent,Expected,9.89965082,3,0
P16b,11.26301082,f,2,Inaccessible,Unexpected,4.198454966,5,1
P16b,11.26301082,f,1,Inaccessible,Expected,9.117325839,5,1
P20b,11.13150541,m,2,Inaccessible,Unexpected,13.00608811,4,0
P20b,11.13150541,m,1,Inaccessible,Expected,16.89979003,4,0
P20b,11.39451622,m,2,GoalDirected,Unexpected,6.610254333,6,1
P20b,11.39451622,m,1,GoalDirected,Expected,19.509296,6,1
P27b,10.55889798,f,2,GoalDirected,Unexpected,17.59458675,1,0
P27b,10.55889798,f,1,GoalDirected,Expected,11.52200117,1,0
P27b,10.59177434,f,2,Inefficient,Unexpected,10.26246954,2,1
P27b,10.59177434,f,1,Inefficient,Expected,11.68471728,2,1
P27b,10.69040339,f,2,Efficient,Unexpected,5.469234133,4,0
P27b,10.69040339,f,1,Efficient,Expected,4.169392549,4,0
P27b,10.78903245,f,2,Instrumental,Unexpected,8.579163474,5,0
P27b,10.78903245,f,1,Instrumental,Expected,15.67999669,5,0
P27b,10.8219088,f,2,Multiagent,Unexpected,3.230143269,6,1
P27b,10.8219088,f,1,Multiagent,Expected,9.037668097,6,1
P03c,11.19725811,m,2,GoalDirected,Unexpected,20.75792018,1,1
P03c,11.19725811,m,1,GoalDirected,Expected,3.217971815,1,1
P03c,11.26301082,m,2,Instrumental,Unexpected,7.692942781,3,0
P03c,11.26301082,m,1,Instrumental,Expected,5.358101099,3,0
P03c,11.29588717,m,2,Inefficient,Unexpected,7.231774339,4,0
P03c,11.29588717,m,1,Inefficient,Expected,15.27532355,4,0
P27c,10.62465069,m,2,Efficient,Unexpected,4.953450417,4,1
P27c,10.62465069,m,1,Efficient,Expected,3.218331166,4,1
P27c,10.65752704,m,2,Instrumental,Unexpected,8.286731416,5,1
P27c,10.65752704,m,1,Instrumental,Expected,4.428029125,5,1
P08c,10.65752704,m,2,Inaccessible,Unexpected,2.040943791,4,1
P08c,10.65752704,m,1,Inaccessible,Expected,8.259069501,4,1
P03d,10.49314528,m,2,GoalDirected,Unexpected,5.286493583,1,1
P03d,10.49314528,m,1,GoalDirected,Expected,1.770033749,1,1
P03e,11.16438176,m,2,GoalDirected,Unexpected,9.199239167,1,0
P03e,11.16438176,m,1,GoalDirected,Expected,14.39991571,1,0
P03e,11.23013446,m,2,Instrumental,Unexpected,16.54334575,3,0
P03e,11.23013446,m,1,Instrumental,Expected,19.7101575,3,0
P03e,11.26301082,m,2,Inefficient,Unexpected,5.991114083,4,0
P03e,11.26301082,m,1,Inefficient,Expected,6.424672792,4,0
P03e,11.29588717,m,2,Multiagent,Unexpected,9.849429125,5,1
P03e,11.29588717,m,1,Multiagent,Expected,12.82215629,5,1
P03e,11.32876352,m,2,Efficient,Unexpected,16.88643679,6,1
P03e,11.32876352,m,1,Efficient,Expected,13.81512879,6,1
P30c,10.59177434,m,2,Efficient,Unexpected,10.01289287,2,0
P30c,10.59177434,m,1,Efficient,Expected,3.649970959,2,0
P30c,10.62465069,m,2,Inefficient,Unexpected,6.844548542,3,1
P30c,10.62465069,m,1,Inefficient,Expected,5.780054124,3,1
P30c,10.69040339,m,2,GoalDirected,Unexpected,3.1133455,4,0
P30c,10.69040339,m,1,GoalDirected,Expected,4.409164042,4,0
P30c,10.7561561,m,2,Instrumental,Unexpected,4.479701592,6,1
P30c,10.7561561,m,1,Instrumental,Expected,10.74772933,6,1
P27d,10.95341421,m,2,GoalDirected,Unexpected,7.072916542,1,1
P27d,10.95341421,m,1,GoalDirected,Expected,8.750066084,1,1
