Participant,Months,Gender,Condition,Order,Obstacle,Task,Outcome,Looking,TaskOrder,Habituated
P07b,11.0657527,m,2,1,no,Inaccessible,Unexpected,39.20514897,1,1
P07b,11.0657527,m,2,2,no,Inaccessible,Expected,8.779343583,1,1
P07b,11.09862906,m,6,1,no,GoalDirected,Unexpected,2.218291225,2,0
P07b,11.09862906,m,6,2,no,GoalDirected,Expected,7.457290032,2,0
P07b,11.16438176,m,2,1,no,Multiagent,Unexpected,3.184352989,3,0
P07b,11.16438176,m,2,2,no,Multiagent,Expected,15.52044473,3,0
P10b,10.92053786,m,4,1,no,Inaccessible,Unexpected,5.031016929,1,0
P10b,10.92053786,m,4,2,no,Inaccessible,Expected,7.704946149,1,0
P10b,11.46026893,m,4,1,no,GoalDirected,Unexpected,24.06622923,6,0
P10b,11.46026893,m,4,2,no,GoalDirected,Expected,11.2714709,6,0
P13b,11.03287635,m,2,1,no,Inaccessible,Unexpected,16.44610748,2,1
P13b,11.03287635,m,2,2,no,Inaccessible,Expected,11.6373443,2,1
P13b,11.09862906,m,2,1,no,GoalDirected,Unexpected,8.091501378,4,0
P13b,11.09862906,m,2,2,no,GoalDirected,Expected,9.476426713,4,0
P07c,10.59177434,m,2,1,yes,Inaccessible,Unexpected,17.07065337,1,0
P07c,10.59177434,m,2,2,yes,Inaccessible,Expected,8.437984797,1,0
P07c,10.62465069,m,6,1,yes,GoalDirected,Unexpected,6.745560793,2,0
P07c,10.62465069,m,6,2,yes,GoalDirected,Expected,4.307593881,2,0
P07c,10.65752704,m,2,1,yes,Multiagent,Unexpected,8.942259809,3,0
P07c,10.65752704,m,2,2,yes,Multiagent,Expected,3.101377392,3,0
P16b,11.03287635,f,8,1,yes,GoalDirected,Unexpected,21.89688015,1,0
P16b,11.03287635,f,8,2,yes,GoalDirected,Expected,7.505917875,1,0
P08c,10.55889798,m,8,1,no,GoalDirected,Unexpected,17.61420478,1,0
P08c,10.55889798,m,8,2,no,GoalDirected,Expected,11.25262117,1,0
P08c,10.59177434,m,6,1,no,Multiagent,Unexpected,9.393939542,2,1
P08c,10.59177434,m,6,2,no,Multiagent,Expected,16.23889054,2,1
P03e,11.19725811,m,2,1,no,Inaccessible,Unexpected,20.61497112,2,0
P03e,11.19725811,m,2,2,no,Inaccessible,Expected,11.91356933,2,0
P30c,10.55889798,m,4,1,no,Inaccessible,Unexpected,22.96008263,1,0
P30c,10.55889798,m,4,2,no,Inaccessible,Expected,11.47591117,1,0
P30c,10.72327974,m,8,1,no,Multiagent,Unexpected,5.24660325,5,0
P30c,10.72327974,m,8,2,no,Multiagent,Expected,5.3034625,5,0
P27d,11.0657527,m,2,1,yes,Inaccessible,Unexpected,4.290906459,3,0
P27d,11.0657527,m,2,2,yes,Inaccessible,Expected,10.43509617,3,0
P20e,10.55889798,f,6,1,no,Multiagent,Unexpected,3.584494167,1,1
P20e,10.55889798,f,6,2,no,Multiagent,Expected,5.844861291,1,1
P08e,10.65752704,m,8,1,yes,GoalDirected,Unexpected,7.151566863,1,0
P08e,10.65752704,m,8,2,yes,GoalDirected,Expected,7.757266003,1,0
P08e,10.69040339,m,6,1,yes,Multiagent,Unexpected,11.56426129,2,0
P08e,10.69040339,m,6,2,yes,Multiagent,Expected,9.474522279,2,0
P06c,11.03287635,f,4,1,no,Inaccessible,Unexpected,4.401634669,2,0
P06c,11.03287635,f,4,2,no,Inaccessible,Expected,5.232678265,2,0
P06c,11.13150541,f,8,1,no,Multiagent,Unexpected,12.33825611,5,0
P06c,11.13150541,f,8,2,no,Multiagent,Expected,10.77974995,5,0
P29b,10.88766151,m,2,1,no,GoalDirected,Unexpected,10.41330344,5,0
P29b,10.88766151,m,2,2,no,GoalDirected,Expected,2.129039119,5,0
P08f,11.0657527,m,8,1,no,GoalDirected,Unexpected,3.313307047,1,0
P08f,11.0657527,m,8,2,no,GoalDirected,Expected,2.91769996,1,0
P08f,11.09862906,m,6,1,no,Multiagent,Unexpected,3.733426058,2,0
P08f,11.09862906,m,6,2,no,Multiagent,Expected,1.965493728,2,0
