RecordedDate,ResponseId,Charity,IS,DV_likely,PMMC,PMMC_1,PMMC_2,PMMC_3,ISMC,gender,age
2023-05-12 6:37,R_1kSvoMJuBKtBVwt,-1,-1,6,6.666666667,6,7,7,7,1,27
2023-05-12 6:37,R_1C1I4tFMkY9Gco0,-1,1,7,5,5,3,7,6,1,66
2023-05-12 6:37,R_2xQPtoDgSYIBA1M,-1,-1,1,4.333333333,4,2,7,7,1,44
2023-05-12 6:37,R_pg7ocmjxbdYotXz,1,1,5,5,5,5,5,7,-1,61
2023-05-12 6:37,R_2QXpntyWKjqN818,1,-1,5,5.666666667,5,6,6,5,1,50
2023-05-12 6:37,R_1BRtkL6jJdgdLyw,1,1,3,3.666666667,4,3,4,6,1,36
2023-05-12 6:37,R_31cj9hDfbBmZoII,1,1,6,4.333333333,5,2,6,7,-1,40
2023-05-12 6:38,R_1KpV3suE3pUoE21,-1,1,6,5.666666667,7,5,5,7,-1,56
2023-05-12 6:38,R_3GCFC9IyqFHb8SK,1,-1,1,5,7,3,5,7,1,42
2023-05-12 6:38,R_30386tgB1wRucec,-1,1,7,6.333333333,7,6,6,6,1,27
2023-05-12 6:38,R_3MfHyUKG8E07wwP,-1,-1,1,2,3,1,2,7,1,32
2023-05-12 6:38,R_Xk9Qy0alR7Sluil,-1,-1,2,4.333333333,5,3,5,5,-1,29
2023-05-12 6:38,R_2xDgYMF8urXTsZe,1,-1,7,5.333333333,6,4,6,7,1,70
2023-05-12 6:38,R_2fBb0Qniu3Rlukr,-1,1,1,3,5,2,2,1,-1,54
2023-05-12 6:39,R_10GipMQyaDXSnUQ,-1,1,5,6,7,5,6,5,-1,33
2023-05-12 6:39,R_11h0q8axTpGVk8Z,-1,1,4,4.333333333,5,3,5,7,-1,30
2023-05-12 6:39,R_22EtUFg8OfVhnfq,1,1,6,6,6,6,6,6,-1,54
2023-05-12 6:39,R_3lY6uWHHOuF08VX,1,1,7,6.333333333,7,5,7,6,-1,62
2023-05-12 6:39,R_3huoIq2Yip7rvbl,1,-1,4,5,5,5,5,4,-1,38
2023-05-12 6:40,R_9WAVDSDY3aSYvBf,-1,-1,1,2.333333333,1,1,5,5,1,30
2023-05-12 6:40,R_89bmEx5cTqq4uBj,-1,1,4,4.666666667,4,4,6,7,-1,45
2023-05-12 6:40,R_1gAtYcuii0qpO2I,-1,-1,1,7,7,7,7,5,-1,25
2023-05-12 6:40,R_eYb7GXYraY801mF,1,1,7,7,7,7,7,7,-1,52
2023-05-12 6:40,R_3rI2O1WrwEgcOns,-1,1,6,6,6,5,7,7,-1,35
2023-05-12 6:40,R_1rdcDu6Q4wZP5js,1,-1,6,6,6,6,6,4,1,37
2023-05-12 6:40,R_3r3aRop7p4Sl87L,1,1,3,4.333333333,5,4,4,4,-1,39
2023-05-12 6:41,R_eR0VvDjex9ok5e9,1,1,6,3,4,1,4,5,-1,68
2023-05-12 6:41,R_1kHSC0FI2XVchw0,-1,-1,1,1,1,1,1,1,-1,36
2023-05-12 6:41,R_dg3si1tOGJxJ4EV,1,-1,3,4,6,2,4,1,1,37
2023-05-12 6:41,R_p03Sv0hc9xzT3k5,-1,-1,3,3.666666667,5,1,5,5,1,54
2023-05-12 6:41,R_3KCTb8Xb1xVehRv,-1,1,1,1.333333333,1,1,2,7,-1,52
2023-05-12 6:42,R_2VjPEt828LKblh9,1,-1,7,6,7,4,7,7,1,57
2023-05-12 6:42,R_3RydqFWQGUKJ3kC,1,-1,7,6,7,4,7,7,-1,39
2023-05-12 6:42,R_2CJOZrF2flE1ZHA,1,1,7,5.333333333,6,4,6,7,1,61
2023-05-12 6:42,R_1DIOOpua5y7HRtE,1,1,7,7,7,7,7,7,-1,24
2023-05-12 6:42,R_yJdvOayuRIGbbCp,1,-1,7,6.333333333,6,7,6,6,1,57
2023-05-12 6:42,R_sqa0CNViyjhNvi1,-1,1,5,5.333333333,5,6,5,6,1,27
2023-05-12 6:42,R_3edWpRwsujjxsMF,1,-1,2,3.666666667,4,3,4,3,1,37
2023-05-12 6:43,R_3RyBJdfEBXRx7pa,-1,-1,7,6.666666667,7,6,7,7,-1,76
2023-05-12 6:43,R_2TMiqzdmckYHAgd,-1,1,7,5,5,5,5,5,1,67
2023-05-12 6:43,R_242y1XiTGXMSNjL,1,1,4,4,5,2,5,1,1,25
2023-05-12 6:43,R_2Pb29lvpsxdSJvH,-1,1,7,4.333333333,5,1,7,7,1,37
2023-05-12 6:43,R_2wNpAtCx8mPObAx,1,1,1,6,6,6,6,7,1,38
